country,year,bottom_50,top_1,gap
china,1940,0.1791,0.1817,0.002599999999999991
china,1950,0.254,0.05,-0.20400000000000001
china,1960,0.254,0.05,-0.20400000000000001
china,1970,0.254,0.05,-0.20400000000000001
china,1978,0.2517,0.065,-0.18669999999999998
china,1979,0.251,0.0652,-0.18580000000000002
china,1980,0.2498,0.0657,-0.18409999999999999
china,1981,0.2471,0.0686,-0.1785
china,1982,0.2419,0.0709,-0.17099999999999999
china,1983,0.2445,0.0727,-0.1718
china,1984,0.2418,0.0761,-0.1657
china,1985,0.2384,0.0817,-0.1567
china,1986,0.2252,0.0811,-0.1441
china,1987,0.2207,0.08,-0.1407
china,1988,0.2188,0.0813,-0.1375
china,1989,0.2126,0.0833,-0.12930000000000003
china,1990,0.2146,0.0821,-0.1325
china,1991,0.2027,0.0842,-0.1185
china,1992,0.1939,0.0885,-0.1054
china,1993,0.1849,0.0929,-0.09200000000000001
china,1994,0.1811,0.0954,-0.08570000000000001
china,1995,0.1849,0.0938,-0.09110000000000001
china,1996,0.1906,0.0965,-0.09409999999999999
china,1997,0.1909,0.0965,-0.09439999999999998
china,1998,0.1915,0.0994,-0.0921
china,1999,0.185,0.1002,-0.0848
china,2000,0.1737,0.1046,-0.0691
china,2001,0.1681,0.1096,-0.058499999999999996
china,2002,0.1557,0.1265,-0.029200000000000004
china,2003,0.1515,0.1323,-0.019199999999999995
china,2004,0.1515,0.1393,-0.012199999999999989
china,2005,0.1442,0.143,-0.0012000000000000066
china,2006,0.1441,0.1487,0.004599999999999993
china,2007,0.1425,0.1538,0.011300000000000004
china,2008,0.1421,0.1529,0.010800000000000004
china,2009,0.1414,0.1552,0.013800000000000007
china,2010,0.1383,0.152,0.01369999999999999
china,2011,0.1409,0.1467,0.0058
china,2012,0.1454,0.1383,-0.007099999999999995
china,2013,0.1403,0.1389,-0.0014000000000000123
china,2014,0.1438,0.1374,-0.006400000000000017
china,2015,0.1436,0.14,-0.003599999999999992
china,2016,0.1411,0.1405,-0.0005999999999999894
china,2017,0.1386,0.1516,0.013000000000000012
china,2018,0.1393,0.1485,0.009199999999999986
china,2019,0.1398,0.1466,0.0068000000000000005
china,2020,0.1377,0.1556,0.0179
china,2021,0.1374,0.1572,0.019800000000000012
china,2022,0.1351,0.1576,0.022499999999999992
china,2023,0.1351,0.1576,0.022499999999999992
germany,1820,0.1815,0.1769,-0.004599999999999993
germany,1850,0.178,0.1808,0.002799999999999997
germany,1880,0.1836,0.1745,-0.009100000000000025
germany,1900,0.1678,0.2244,0.056599999999999984
germany,1910,0.1759,0.214,0.038099999999999995
germany,1920,0.1724,0.2185,0.0461
germany,1930,0.2229,0.1249,-0.09799999999999999
germany,1940,0.1917,0.1574,-0.0343
germany,1950,0.2205,0.1078,-0.1127
germany,1960,0.2289,0.1143,-0.1146
germany,1970,0.2409,0.1022,-0.1387
germany,1980,0.2347,0.0968,-0.1379
germany,1981,0.2353,0.0928,-0.14250000000000002
germany,1982,0.2393,0.0905,-0.14880000000000002
germany,1983,0.2357,0.0928,-0.1429
germany,1984,0.2384,0.0927,-0.1457
germany,1985,0.238,0.0942,-0.14379999999999998
germany,1986,0.2356,0.0984,-0.1372
germany,1987,0.2316,0.1029,-0.12869999999999998
germany,1988,0.2255,0.1115,-0.114
germany,1989,0.2215,0.1164,-0.1051
germany,1990,0.2186,0.1131,-0.10549999999999998
germany,1991,0.2236,0.102,-0.1216
germany,1992,0.2265,0.0952,-0.1313
germany,1993,0.2293,0.0909,-0.13840000000000002
germany,1994,0.2325,0.088,-0.14450000000000002
germany,1995,0.2332,0.0867,-0.1465
germany,1996,0.228,0.0941,-0.13390000000000002
germany,1997,0.2231,0.1005,-0.12259999999999999
germany,1998,0.2177,0.1081,-0.1096
germany,1999,0.2209,0.1044,-0.1165
germany,2000,0.2178,0.103,-0.1148
germany,2001,0.2172,0.1011,-0.11610000000000001
germany,2002,0.2139,0.0993,-0.11460000000000001
germany,2003,0.2187,0.0931,-0.1256
germany,2004,0.2122,0.1042,-0.108
germany,2005,0.2017,0.1187,-0.08299999999999999
germany,2006,0.2004,0.1251,-0.0753
germany,2007,0.196,0.1338,-0.062200000000000005
germany,2008,0.1948,0.132,-0.0628
germany,2009,0.195,0.1268,-0.06820000000000001
germany,2010,0.1968,0.1258,-0.07100000000000001
germany,2011,0.1945,0.1252,-0.0693
germany,2012,0.1931,0.1233,-0.06979999999999999
germany,2013,0.1862,0.128,-0.0582
germany,2014,0.1855,0.1298,-0.0557
germany,2015,0.1864,0.1298,-0.05660000000000001
germany,2016,0.1881,0.1296,-0.058499999999999996
germany,2017,0.1896,0.1291,-0.0605
germany,2018,0.1923,0.1274,-0.06489999999999999
germany,2019,0.1914,0.1284,-0.063
germany,2020,0.1919,0.1278,-0.06409999999999999
germany,2021,0.1919,0.1278,-0.06409999999999999
germany,2022,0.1919,0.1278,-0.06409999999999999
germany,2023,0.1919,0.1278,-0.06409999999999999
italy,1820,0.1596,0.2202,0.060600000000000015
italy,1850,0.1572,0.2255,0.0683
italy,1880,0.1563,0.2225,0.06620000000000001
italy,1900,0.1438,0.2789,0.13509999999999997
italy,1910,0.1544,0.2675,0.1131
italy,1920,0.1854,0.2131,0.027700000000000002
italy,1930,0.2086,0.1631,-0.04550000000000001
italy,1940,0.2045,0.1479,-0.056599999999999984
italy,1950,0.2281,0.1071,-0.121
italy,1960,0.2274,0.1012,-0.12619999999999998
italy,1970,0.2708,0.053,-0.2178
italy,1980,0.2089,0.0624,-0.14650000000000002
italy,1981,0.2137,0.0573,-0.1564
italy,1982,0.2144,0.0563,-0.15810000000000002
italy,1983,0.2156,0.0559,-0.1597
italy,1984,0.2133,0.058,-0.1553
italy,1985,0.2123,0.0617,-0.15059999999999998
italy,1986,0.21,0.0695,-0.14049999999999999
italy,1987,0.2057,0.0709,-0.13479999999999998
italy,1988,0.1992,0.0749,-0.1243
italy,1989,0.1973,0.0765,-0.1208
italy,1990,0.1926,0.076,-0.1166
italy,1991,0.1966,0.0767,-0.11989999999999999
italy,1992,0.1924,0.0768,-0.1156
italy,1993,0.1879,0.0794,-0.10850000000000001
italy,1994,0.1829,0.0822,-0.10070000000000001
italy,1995,0.1807,0.0882,-0.0925
italy,1996,0.1773,0.0904,-0.08690000000000002
italy,1997,0.1786,0.0919,-0.08670000000000001
italy,1998,0.1711,0.0959,-0.0752
italy,1999,0.1729,0.0935,-0.0794
italy,2000,0.1707,0.0992,-0.0715
italy,2001,0.1692,0.1035,-0.0657
italy,2002,0.1709,0.0997,-0.0712
italy,2003,0.1699,0.1006,-0.0693
italy,2004,0.1698,0.0991,-0.07070000000000001
italy,2005,0.1751,0.0983,-0.07680000000000001
italy,2006,0.1741,0.0987,-0.07540000000000001
italy,2007,0.1736,0.0962,-0.07740000000000001
italy,2008,0.1794,0.0867,-0.0927
italy,2009,0.1789,0.0889,-0.09
italy,2010,0.1754,0.0939,-0.0815
italy,2011,0.1728,0.1062,-0.0666
italy,2012,0.1714,0.1139,-0.057499999999999996
italy,2013,0.1678,0.1105,-0.057300000000000004
italy,2014,0.1679,0.1123,-0.0556
italy,2015,0.1695,0.1056,-0.06390000000000001
italy,2016,0.167,0.123,-0.04400000000000001
italy,2017,0.1657,0.1271,-0.038599999999999995
italy,2018,0.1641,0.1259,-0.038199999999999984
italy,2019,0.1649,0.1243,-0.0406
italy,2020,0.166,0.1228,-0.0432
italy,2021,0.166,0.1228,-0.0432
italy,2022,0.166,0.1228,-0.0432
italy,2023,0.166,0.1228,-0.0432
japan,1820,0.1273,0.2159,0.08860000000000001
japan,1850,0.1252,0.2207,0.0955
japan,1880,0.121,0.2183,0.0973
japan,1900,0.1148,0.2425,0.12769999999999998
japan,1910,0.111,0.2599,0.14890000000000003
japan,1920,0.1454,0.2178,0.07239999999999999
japan,1930,0.1528,0.1984,0.0456
japan,1940,0.1672,0.1817,0.014500000000000013
japan,1950,0.2173,0.1054,-0.1119
japan,1960,0.2106,0.1109,-0.09970000000000001
japan,1970,0.2065,0.1157,-0.09079999999999999
japan,1980,0.2902,0.0478,-0.2424
japan,1981,0.2937,0.0461,-0.24760000000000001
japan,1982,0.2953,0.0459,-0.2494
japan,1983,0.2928,0.0457,-0.24710000000000001
japan,1984,0.2904,0.0466,-0.2438
japan,1985,0.2848,0.048,-0.2368
japan,1986,0.2817,0.0507,-0.231
japan,1987,0.276,0.0575,-0.21850000000000003
japan,1988,0.2726,0.0591,-0.21350000000000002
japan,1989,0.2718,0.0641,-0.2077
japan,1990,0.2731,0.068,-0.2051
japan,1991,0.2789,0.0631,-0.2158
japan,1992,0.2918,0.0448,-0.247
japan,1993,0.2886,0.0458,-0.24280000000000002
japan,1994,0.2866,0.0452,-0.24140000000000003
japan,1995,0.2803,0.0473,-0.23299999999999998
japan,1996,0.2735,0.0507,-0.22280000000000003
japan,1997,0.2734,0.0479,-0.22549999999999998
japan,1998,0.2726,0.0475,-0.22510000000000002
japan,1999,0.27,0.049,-0.22100000000000003
japan,2000,0.2636,0.0525,-0.2111
japan,2001,0.2589,0.0542,-0.20470000000000002
japan,2002,0.2536,0.056,-0.1976
japan,2003,0.2503,0.0585,-0.19180000000000003
japan,2004,0.2459,0.0628,-0.1831
japan,2005,0.2463,0.065,-0.1813
japan,2006,0.247,0.0658,-0.1812
japan,2007,0.2462,0.066,-0.1802
japan,2008,0.2512,0.062,-0.18919999999999998
japan,2009,0.2645,0.058,-0.20650000000000002
japan,2010,0.2647,0.061,-0.2037
japan,2011,0.2678,0.06,-0.20779999999999998
japan,2012,0.268,0.0603,-0.20770000000000002
japan,2013,0.2671,0.0612,-0.2059
japan,2014,0.2674,0.0611,-0.20630000000000004
japan,2015,0.2665,0.0609,-0.2056
japan,2016,0.2655,0.0607,-0.2048
japan,2017,0.2646,0.0605,-0.2041
japan,2018,0.2636,0.0603,-0.2033
japan,2019,0.2626,0.0601,-0.2025
japan,2020,0.2626,0.0601,-0.2025
japan,2021,0.2626,0.0601,-0.2025
japan,2022,0.2626,0.0601,-0.2025
japan,2023,0.2626,0.0601,-0.2025
new_zealand,1820,0.1185,0.1443,0.025800000000000017
new_zealand,1850,0.1165,0.1475,0.030999999999999986
new_zealand,1880,0.1175,0.1459,0.02840000000000001
new_zealand,1900,0.1073,0.1621,0.05479999999999999
new_zealand,1910,0.1073,0.1621,0.05479999999999999
new_zealand,1920,0.0979,0.1884,0.09050000000000001
new_zealand,1921,0.0989,0.2068,0.10790000000000001
new_zealand,1922,0.1114,0.193,0.0816
new_zealand,1923,0.1046,0.2008,0.09620000000000001
new_zealand,1924,0.1053,0.1999,0.09459999999999999
new_zealand,1925,0.0993,0.2026,0.1033
new_zealand,1926,0.0952,0.1975,0.1023
new_zealand,1927,0.095,0.1942,0.09920000000000001
new_zealand,1928,0.0952,0.2094,0.1142
new_zealand,1929,0.0913,0.1999,0.10859999999999999
new_zealand,1930,0.082,0.1912,0.1092
new_zealand,1931,0.0823,0.1931,0.1108
new_zealand,1932,0.0826,0.1952,0.1126
new_zealand,1933,0.0831,0.1969,0.1138
new_zealand,1934,0.0833,0.1891,0.10579999999999999
new_zealand,1935,0.093,0.1889,0.09590000000000001
new_zealand,1936,0.1012,0.1955,0.09430000000000001
new_zealand,1937,0.1189,0.1555,0.036599999999999994
new_zealand,1938,0.1329,0.1386,0.005700000000000011
new_zealand,1939,0.1212,0.1475,0.02629999999999999
new_zealand,1940,0.1266,0.1398,0.013200000000000017
new_zealand,1941,0.1309,0.1381,0.007200000000000012
new_zealand,1942,0.1352,0.1364,0.0012000000000000066
