date,year,state,income
1986-12-31T00:00:00.000000,1986,AL,49070.0
1986-12-31T00:00:00.000000,1986,AK,80420.0
1986-12-31T00:00:00.000000,1986,AZ,65400.0
1986-12-31T00:00:00.000000,1986,AR,48040.0
1986-12-31T00:00:00.000000,1986,CA,74400.0
1986-12-31T00:00:00.000000,1986,CO,69740.0
1986-12-31T00:00:00.000000,1986,CT,83920.0
1986-12-31T00:00:00.000000,1986,DE,65720.0
1986-12-31T00:00:00.000000,1986,District of Columbia,62380.0
1986-12-31T00:00:00.000000,1986,FL,58600.0
1986-12-31T00:00:00.000000,1986,GA,62500.0
1986-12-31T00:00:00.000000,1986,HI,74380.0
1986-12-31T00:00:00.000000,1986,ID,53220.0
1986-12-31T00:00:00.000000,1986,IL,67990.0
1986-12-31T00:00:00.000000,1986,IN,58290.0
1986-12-31T00:00:00.000000,1986,IA,57600.0
1986-12-31T00:00:00.000000,1986,KS,61360.0
1986-12-31T00:00:00.000000,1986,KY,50970.0
1986-12-31T00:00:00.000000,1986,LA,53580.0
1986-12-31T00:00:00.000000,1986,ME,60080.0
1986-12-31T00:00:00.000000,1986,MD,78490.0
1986-12-31T00:00:00.000000,1986,MA,77810.0
1986-12-31T00:00:00.000000,1986,MI,68230.0
1986-12-31T00:00:00.000000,1986,MN,67820.0
1986-12-31T00:00:00.000000,1986,MS,42350.0
1986-12-31T00:00:00.000000,1986,MO,56230.0
1986-12-31T00:00:00.000000,1986,MT,52140.0
1986-12-31T00:00:00.000000,1986,NE,55840.0
1986-12-31T00:00:00.000000,1986,NV,67240.0
1986-12-31T00:00:00.000000,1986,NH,78350.0
1986-12-31T00:00:00.000000,1986,NJ,81340.0
1986-12-31T00:00:00.000000,1986,NM,50900.0
1986-12-31T00:00:00.000000,1986,NY,64180.0
1986-12-31T00:00:00.000000,1986,NC,56070.0
1986-12-31T00:00:00.000000,1986,ND,55160.0
1986-12-31T00:00:00.000000,1986,OH,64410.0
1986-12-31T00:00:00.000000,1986,OK,53730.0
1986-12-31T00:00:00.000000,1986,OR,63540.0
