country,year,mobility,inequality_controlled,growth_controlled
Australia,1980,0.8074026543012491,0.7309376168980225,0.7638222583476033
Australia,1981,0.7997654476852369,0.7281356244148165,0.7523638784393979
Australia,1982,0.8010986553457307,0.735975912785657,0.7443750510819767
Australia,1983,0.783982995876976,0.7154450766346979,0.7498874742980565
Australia,1984,0.7724665608666579,0.7066720113443372,0.7480349108543984
Australia,1985,0.7613168440866069,0.7029886454351442,0.740939413773328
Australia,1986,0.7513320238777207,0.7027050962738582,0.731346045590613
Australia,1987,0.7265907840052898,0.7027462918342617,0.7055452508151852
Australia,1988,0.7374092621413435,0.7059418312939463,0.7162165940840435
Australia,1989,0.740614264868,0.6957434282230381,0.7295703748298152
Australia,1990,0.7389889574183011,0.6910002104125441,0.7331325665041779
Australia,1991,0.7119003978037972,0.675472583877021,0.7232188388158682
Australia,1992,0.7074251774636535,0.6720359588215665,0.7223628877494551
Australia,1993,0.6982611530177415,0.6662313275360467,0.7194276638653857
Australia,1994,0.6779091073445493,0.6547450954351689,0.7124197462623973
Australia,1995,0.6794412932504272,0.6535694202843181,0.7155475042563972
Australia,1996,0.6908520843201912,0.6639174755402353,0.7156887684185524
Australia,1997,0.6712609923556518,0.6561498623253806,0.7048000090655386
Australia,1998,0.6745878870272153,0.6615643971980215,0.7021854388120863
Australia,1999,0.6487776318025112,0.6533538323783263,0.6860291323649895
Australia,2000,0.6436677944893214,0.6539120664347446,0.6804477186355745
Australia,2001,0.6579801792297209,0.651360465030798,0.697518934913647
Australia,2002,0.6509982516598032,0.6544955179484448,0.6870158585714333
Australia,2003,0.6525889124942009,0.6577870968028167,0.6855329693124909
Australia,2004,0.6461101135017102,0.6586672016369493,0.6786467963313709
Australia,2005,0.6329256228159724,0.6574094874371814,0.6669529868393346
Australia,2006,0.6203963401539909,0.660217498535494,0.650862744864033
Australia,2007,0.6288975937285615,0.6565025496600655,0.6642538209811971
Australia,2008,0.6644558671325212,0.6694487799203359,0.6845006442047669
Australia,2009,0.6382351820329606,0.659947518482057,0.6695266834469891
Australia,2010,0.6312842782623287,0.6548926973549041,0.6684840866791895
Australia,2011,0.6336706105696012,0.6555704587513052,0.6701454800883899
Australia,2012,0.6315351858423099,0.6636134100928172,0.6575711547679909
Australia,2013,0.643343719247614,0.6842222461032593,0.6450927535507414
Australia,2014,0.6365964849180448,0.6771522091708092,0.6466929967304493
Australia,2015,0.6276035736376803,0.669708429692966,0.6462199403888207
Australia,2016,0.629453241029287,0.6672615776902269,0.6505564147814604
Canada,1980,0.720516144267982,0.7106504653760566,0.6576451710756812
Canada,1981,0.7098553571413253,0.7015070737722863,0.6538526170445356
Canada,1982,0.6730545784463345,0.6665469217419719,0.6535111298326531
Canada,1983,0.6762868328576567,0.66558042187323,0.6581032741631697
Canada,1984,0.7120858020733678,0.689171248510517,0.6710378495338141
Canada,1985,0.6985079077091852,0.6761301683340948,0.6699867916040084
Canada,1986,0.6720122494161863,0.657883292565591,0.6616477928555097
Canada,1987,0.6793695120406359,0.665602240905859,0.6613123427026865
Canada,1988,0.6878496010266932,0.6755861690500711,0.6600791123180895
Canada,1989,0.670016153379784,0.6685051191950099,0.6493738486119628
Canada,1990,0.6867972219794162,0.665237980782139,0.6694815298013528
Canada,1991,0.6557585251369751,0.6386022678187464,0.6647663839428929
Canada,1992,0.618265436809866,0.617110454485805,0.6492779732503066
Canada,1993,0.5976068098659764,0.6111217567806321,0.6346996607503161
Canada,1994,0.574990379863688,0.6055553214466297,0.6168106114585933
Canada,1995,0.5876817318688994,0.5980946045023243,0.6381969859825285
Canada,1996,0.56634337602395,0.5861525767948441,0.6292124466078998
Canada,1997,0.572098466585389,0.5966541027669434,0.6237359548826252
Canada,1998,0.5659250773319172,0.5930217174459489,0.6208016317845799
Canada,1999,0.5713362758915387,0.5981589738051201,0.6210563829888607
Canada,2000,0.5801668443628903,0.6147871754802163,0.6126768822179199
Canada,2001,0.5808994899075685,0.608024678691309,0.6203375045833438
Canada,2002,0.5774597740331212,0.6030492366784163,0.6218799655025284
Canada,2003,0.5638863305667481,0.5925233437434285,0.6192257243576378
Canada,2004,0.5693907605344406,0.6011324271425159,0.6156840090736955
Canada,2005,0.5759548144712708,0.6146128533675006,0.6088411422898629
Canada,2006,0.5589062824001069,0.6080984645375167,0.59833795775905
Canada,2007,0.5532735520084628,0.6076871144195016,0.5933780419751793
Canada,2008,0.5569789056509344,0.6009915391098257,0.6040635207499836
Canada,2009,0.5357397292406982,0.5751688514814475,0.6089833061876446
Canada,2010,0.5486704561832203,0.5855222073682297,0.6105685233344352
Denmark,1980,0.8467356889884583,0.7845333008439345,0.7928783072123654
Denmark,1981,0.830162521350901,0.7658653082620169,0.7934607717593178
Denmark,1982,0.8400291159119622,0.7713745461300257,0.7984348104606057
Denmark,1983,0.8357991382896839,0.7640062872558633,0.800786263284761
Denmark,1984,0.8422698553349615,0.7685962248988949,0.802651078716413
Denmark,1985,0.85214169032668,0.7780228415469732,0.8040946501427858
Denmark,1986,0.8674858239830763,0.7946275828765726,0.8053410937508605
Denmark,1987,0.8440763286787645,0.7728798677994465,0.799953779926453
Denmark,1988,0.8342055333303705,0.7633514845135607,0.7992352282068242
Denmark,1989,0.8135546262180212,0.7408031269274424,0.800081559205072
Denmark,1990,0.8112773254884927,0.738814927528697,0.7996789501763293
Denmark,1991,0.7999037263408144,0.7232099216057216,0.8031585166565458
Denmark,1992,0.7968263079210123,0.7201693308042085,0.80294104819762
Denmark,1993,0.7977797829238592,0.7228768420649729,0.8013964893315763
Denmark,1994,0.7865807865381944,0.7087488829564386,0.804059479747451
Denmark,1995,0.7798185154030224,0.7027145155624794,0.8035856676010344
Denmark,1996,0.7844145849996232,0.7073886752987555,0.8033038402353618
Denmark,1997,0.7733195937653536,0.7007870331365973,0.7995397857862339
Denmark,1998,0.7635399555675282,0.692319668239494,0.7981621270862839
Denmark,1999,0.7550464023573442,0.6827412993660256,0.7978104306328976
Denmark,2000,0.7468149446021551,0.6740553397177544,0.7966913125233397
Denmark,2001,0.7443972467226666,0.6743540334943001,0.7954168433120734
Denmark,2002,0.7314083723616974,0.6607240316243231,0.7961218444101722
Denmark,2003,0.7166270758819034,0.6460079423338191,0.7967890291491306
Denmark,2004,0.7488341658291828,0.6820177414554925,0.7943584567652879
Denmark,2005,0.7709639651193647,0.7080290879147632,0.7903388897910164
Denmark,2006,0.7622965693143103,0.7014402176511796,0.7889179589783326
Denmark,2007,0.7430860496147089,0.6898122758978893,0.7836655384834128
Denmark,2008,0.7276150424577069,0.6805553053234589,0.780132665169144
Denmark,2009,0.6922680958131573,0.6447448824016958,0.7883071965252805
Denmark,2010,0.7012921462253088,0.6692860583527546,0.769161631475265
Europe,1933,0.6350744921846846,0.5632025004970334,0.7326009237254065
Europe,1934,0.6560377547592402,0.5839766302047286,0.7325329750496457
Europe,1935,0.6819204373670307,0.5957797768404728,0.7463233675392212
Europe,1936,0.6796392868110336,0.5903624766834338,0.7500411418233779
Europe,1937,0.6934379777591636,0.6012805541649557,0.7527958146405911
Europe,1938,0.7060883416503795,0.6123579800686957,0.7543051155621814
Europe,1939,0.7262702156456545,0.6317595844883169,0.7546774928873239
Europe,1940,0.6799547338974398,0.5887439328910636,0.754487458180007
Europe,1941,0.6682539391606432,0.5784904453490122,0.7542976168399746
Europe,1942,0.6757056012810483,0.5822510502885944,0.7547675398661025
Europe,1943,0.6825872428679938,0.5831412408131535,0.7573044546540394
Europe,1944,0.7079087458305826,0.5895551623433094,0.7722765137128966
Europe,1945,0.6762831873001898,0.5375589516538692,0.7888584297846953
Europe,1946,0.6995067376589809,0.562304918936094,0.7831768343367088
Europe,1947,0.7172148025165817,0.5834091136931154,0.7834503565851472
Europe,1948,0.7584411262984838,0.6314505080045849,0.7803272421583973
Europe,1949,0.7510675885143112,0.6264581550469421,0.7760705334186386
Europe,1950,0.7509009873991757,0.6398600175746181,0.7625033416753797
Europe,1951,0.7769115998025808,0.6674029089055651,0.7584262026851967
Europe,1952,0.7793487117426203,0.6636531559525225,0.7647374963363047
Europe,1953,0.7734867055575507,0.6543284914229309,0.7676270101775333
Europe,1954,0.7789498538172457,0.6651522097683604,0.7632694859261084
Europe,1955,0.7782404109468164,0.6677600236068477,0.7605516527675938
Europe,1956,0.7797226600690622,0.6716089734071709,0.7587985983180117
Europe,1957,0.7898573153033372,0.6824671412270544,0.7578052819560881
Europe,1958,0.7818751345890221,0.6717652672843668,0.7606878329643694
Europe,1959,0.7685990685726799,0.6729509398036764,0.7464855913008266
Europe,1960,0.7831167462051918,0.6939953860239023,0.7382969857466521
Europe,1961,0.8093641215362802,0.722832701619435,0.7348125566675101
Europe,1962,0.8424820960192305,0.7465156135624129,0.7471739760090195
Europe,1963,0.8496437641301937,0.7522443480212067,0.7507916649071136
Europe,1964,0.8565055276600514,0.7600458773187034,0.7510446312085408
Europe,1965,0.8526800699862094,0.756611765945453,0.7488029569932864
Europe,1966,0.8441725433514973,0.7477271733074011,0.745134979089854
Europe,1967,0.8447774661289034,0.7518750816859325,0.7404778499302471
Europe,1968,0.8511833125487271,0.7545441920501237,0.743543558174995
Europe,1969,0.8393565090127695,0.7416815439536271,0.7403848231606681
Europe,1970,0.8986466166389478,0.7986899291927004,0.7498647040579047
Europe,1971,0.9077939465503971,0.8049622665303704,0.7539239933295063
Europe,1972,0.915473524104627,0.8116732515163646,0.7510329056763999
Europe,1973,0.9211690935653791,0.8220246006691269,0.7373598195125024
Europe,1974,0.93149514602454,0.8308226479000158,0.7346058759633679
Europe,1975,0.9222491571548402,0.8133762386181174,0.7400420707185451
Europe,1976,0.8974913392121588,0.7809773883822823,0.753469052995897
Europe,1977,0.8995649314844385,0.7733116203793369,0.7657291417950842
Europe,1978,0.89409415768816,0.7619781274902337,0.7676399535456088
Europe,1979,0.8955824816359816,0.7609439529050088,0.7700500663647276
Europe,1980,0.8817826981625224,0.7825905116919533,0.80640946722942
Europe,1981,0.8710858240543724,0.7673494492149908,0.8105601483597062
Europe,1982,0.8745363971054477,0.7654566179825153,0.8167443898232264
