state,kfr_pooled_pooled_p25
1,0.37704623579710145
2,0.38572828067484666
4,0.4201386798069241
5,0.3926364233382138
6,0.4481095488285535
8,0.45153120643556277
9,0.44813125175757573
10,0.3995312789719626
11,0.3731235277840909
12,0.405659077474015
13,0.376481305840164
15,0.4532407765175719
16,0.4504314917508417
17,0.4285647043019293
18,0.4064852884122748
19,0.48381175290243905
20,0.4505057716337286
21,0.39597596577898553
22,0.404146882633452
23,0.421523722991453
24,0.4252597259652928
25,0.4640324002831492
26,0.4103850219809244
27,0.48168771376126124
28,0.36936744880733946
29,0.4174530758730159
30,0.4746415888764045
31,0.48848351867172674
32,0.42024746344165437
33,0.4450693682191781
34,0.46473212904618477
35,0.410588479778672
36,0.4549804621158422
37,0.37897036415855356
38,0.5449030175121952
39,0.4041932570180825
40,0.4297664083461538
41,0.42560023334545455
42,0.4474294849842668
44,0.43655590879166667
45,0.37223500860314523
46,0.4979509810810811
47,0.37976108746431
48,0.43480517118300904
49,0.48396145777969024
50,0.4491272762295082
51,0.426867666380697
53,0.4452918039347675
54,0.407366234679089
55,0.4463519032997118
56,0.49566576816793895
72,0.30578828507843137
