0.191,0.201,0.169,0.104,0.1,0.088,0.083,0.032,0.018,0.014
0.139,0.12,0.132,0.109,0.109,0.104,0.107,0.11,0.043,0.027
0.108,0.108,0.098,0.11,0.105,0.11,0.103,0.112,0.108,0.038
0.099,0.092,0.104,0.1,0.101,0.099,0.105,0.112,0.112,0.076
0.093,0.103,0.101,0.098,0.098,0.098,0.096,0.101,0.122,0.09
0.091,0.094,0.099,0.1,0.1,0.103,0.102,0.108,0.104,0.099
0.102,0.102,0.094,0.096,0.093,0.102,0.105,0.102,0.108,0.096
0.09,0.088,0.096,0.1,0.101,0.099,0.093,0.102,0.116,0.115
0.043,0.062,0.079,0.107,0.101,0.097,0.097,0.1,0.13,0.184
0.044,0.03,0.028,0.076,0.092,0.1,0.109,0.121,0.139,0.261
