"","year","value"
"294",1988,47111.1
"295",1989,48911.6
"296",1990,49716
"297",1991,49488.7
"298",1992,49867.6
"299",1993,49414.4
"300",1994,50220.2
"301",1995,50978.6
"302",1996,51490.5
"303",1997,52767.8
"304",1998,54442.2
"305",1999,56249.4
"306",2000,57645.2
"307",1950,17196.2
"308",1951,18118.2
"309",1952,18620.2
"310",1953,19157.9
"311",1954,20332.7
"312",1955,21451.2
"313",1956,22174.8
"314",1957,23346.6
"315",1958,23670.6
"316",1959,24287.7
"317",1960,26202.4
"318",1961,27420.4
"319",1962,29077.8
"320",1963,30497.6
"321",1964,32195.1
"322",1965,33734.7
"323",1966,35022
"324",1967,36224.6
"325",1968,36781.9
"326",1969,38416.6
"327",1970,39551.6
"328",1971,41377.1
"329",1972,42463.3
"330",1973,45241.4
"331",1974,46385.6
"332",1975,43627.3
"333",1976,45973.8
"334",1977,45951.8
"335",1978,46395.5
"336",1979,47058
"337",1980,47180.3
"338",1981,46924.2
"339",1982,46943.1
"340",1983,47131.3
"341",1984,47418.7
"342",1985,48099.1
"343",1986,49270.8
"344",1987,50285.5
"345",1988,52283.6
"346",1989,54378.9
"347",1990,55255.2
"348",1991,54961.6
"349",1992,55301.7
"350",1993,54716.3
"351",1994,55747.5
"352",1995,56535.9
"353",1996,57169.3
"354",1997,58600.8
"355",1998,60563.7
"356",1999,62569.2
"357",2000,64186.1
"358",1950,19471.5
"359",1951,20792.1
"360",1952,21427.6
"361",1953,22042
"362",1954,23493.6
"363",1955,24874.6
"364",1956,25631.6
"365",1957,27067.5
"366",1958,27464.9
"367",1959,28380.7
"368",1960,30597
"369",1961,32143.1
"370",1962,33920.1
"371",1963,35662.9
"372",1964,37800.6
"373",1965,39724.1
"374",1966,41036.8
"375",1967,42360.2
"376",1968,42666.6
"377",1969,44323.3
"378",1970,45250.9
"379",1971,47519.3
"380",1972,48681.6
"381",1973,52162.3
"382",1974,53401.9
"383",1975,49722.2
"384",1976,52855.4
"385",1977,52239.3
"386",1978,52639.1
"387",1979,53163.1
"388",1980,53141.2
"389",1981,52784
"390",1982,52678.7
"391",1983,52885.5
"392",1984,53271.4
"393",1985,54141.7
"394",1986,55706.3
"395",1987,57031.4
"396",1988,59446.6
"397",1989,61900.2
"398",1990,62796.6
"399",1991,62395
"400",1992,62739.7
"401",1993,62027.8
"402",1994,63253.6
"403",1995,64069.9
"404",1996,64940.7
"405",1997,66622.4
"406",1998,69012.4
"407",1999,71284.5
"408",2000,73236.4
"409",1950,23650.8
"410",1951,25274.9
"411",1952,25932.9
"412",1953,26648.1
"413",1954,28567.1
"414",1955,30432.5
"415",1956,31297.2
"416",1957,33244.1
"417",1958,33488.8
"418",1959,35062.8
"419",1960,37879.8
"420",1961,39938.7
"421",1962,41787.9
"422",1963,43773.9
"423",1964,46874
"424",1965,49254.2
"425",1966,50459.2
"426",1967,51925.5
"427",1968,51989.3
"428",1969,53861.5
"429",1970,54415.7
"430",1971,57591.4
"431",1972,58853.4
"432",1973,63147.6
"433",1974,64510.1
"434",1975,59189.5
"435",1976,63278.1
"436",1977,62239.7
"437",1978,62503.3
"438",1979,62667.9
"439",1980,62417.1
"440",1981,61903.5
"441",1982,61611.5
"442",1983,61692.7
"443",1984,62286
"444",1985,63500.7
"445",1986,65781.2
"446",1987,67692.9
"447",1988,70789.4
"448",1989,73851.4
"449",1990,74728
"450",1991,74075.7
"451",1992,74227.6
"452",1993,73473.1
"453",1994,74853.2
"454",1995,75839.6
"455",1996,77258.4
"456",1997,79381.8
"457",1998,82461.4
"458",1999,85186.9
"459",2000,87787.1
"460",1950,32756.8
"461",1951,34922.6
"462",1952,36325.3
"463",1953,37217.2
"464",1954,39987.5
"465",1955,42740.6
"466",1956,43796.8
"467",1957,46558.8
"468",1958,46124.9
"469",1959,49470.1
"470",1960,53591.4
"471",1961,56513.4
"472",1962,58338.4
"473",1963,60774.9
"474",1964,65340.3
"475",1965,68600.2
"476",1966,69719.6
"477",1967,71793.5
"478",1968,71176.2
"479",1969,73409.8
"480",1970,73587
"481",1971,78245
"482",1972,80084.1
"483",1973,86292.3
"484",1974,87721.4
"485",1975,78646
"486",1976,85006.8
"487",1977,82880.9
"488",1978,82862.1
"489",1979,82603.7
"490",1980,81796.7
"491",1981,80772.2
"492",1982,79666.2
"493",1983,79530.1
"494",1984,80469
"495",1985,82699.3
"496",1986,86675.9
"497",1987,90077.8
"498",1988,94550.9
"499",1989,98992.9
"500",1990,99610
"501",1991,98738
"502",1992,97775.7
"503",1993,96915.3
"504",1994,98927.4
"505",1995,100416.3
"506",1996,103755.9
"507",1997,106986.7
"508",1998,111771.7
"509",1999,115381
"510",2000,119633.2
"511",1950,44889.6
"512",1951,48334.9
"513",1952,50443.5
"514",1953,51627.1
"515",1954,55458.6
"516",1955,59292.7
"517",1956,60470.3
"518",1957,64590.6
"519",1958,62823.7
"520",1959,68307.1
"521",1960,74357.2
"522",1961,78557.1
"523",1962,80439
"524",1963,83682.1
"525",1964,89285.5
"526",1965,93483.1
"527",1966,95014.4
"528",1967,98496
"529",1968,96938.2
"530",1969,100024.7
"531",1970,98917
"532",1971,105893.9
"533",1972,107091.9
"534",1973,118134.2
"535",1974,119290.2
"536",1975,104244.7
"537",1976,114178.1
"538",1977,110341.8
"539",1978,110262.6
"540",1979,108640.6
"541",1980,106946.8
"542",1981,106160.3
"543",1982,103275.1
"544",1983,102907.4
"545",1984,104125.7
"546",1985,107574.8
"547",1986,113990.8
"548",1987,119740.3
"549",1988,126067.6
"550",1989,132969.8
"551",1990,133403.9
"552",1991,131651.5
"553",1992,130397.6
"554",1993,128455.1
"555",1994,131880.8
"556",1995,134245
"557",1996,141184.6
"558",1997,146548.9
"559",1998,154233.8
"560",1999,158880.9
"561",2000,165855.5
"562",1950,3575207.5
"563",1951,4020203.5
"564",1952,3632879.6
"565",1953,3933218.5
"566",1954,4345941.4
"567",1955,4792266.7
"568",1956,4989780.6
"569",1957,5266046.2
"570",1958,4822088.5
"571",1959,5042775.4
"572",1960,5608427.9
"573",1961,6109257.8
"574",1962,5828553
"575",1963,5677624.1
"576",1964,5851584.5
"577",1965,6447001.3
"578",1966,7069442.6
"579",1967,7663715.1
"580",1968,7738363.2
"581",1969,8675322.7
"582",1970,7116723.2
"583",1971,10961019.9
"584",1972,11384733.5
"585",1973,14868306.5
"586",1974,12782123.5
"587",1975,5618155.8
"588",1976,13612074.2
"589",1977,14060045.7
"590",1978,12180028.4
"591",1979,11183964.5
"592",1980,10415757.3
"593",1981,10375644.9
"594",1982,8281976.5
"595",1983,6942837.6
"596",1984,5179951.2
"597",1985,8602730.4
"598",1986,10715709.3
"599",1987,14473670.1
"600",1988,14552963.2
"601",1989,19294201.2
"602",1990,13294710.7
"603",1991,13701599.7
"604",1992,11877062.6
"605",1993,11704838.1
"606",1994,12399733.6
"607",1995,12259437.4
"608",1996,13495420.8
"609",1997,15372131.1
"610",1998,15622646.1
"611",1999,15638899
"612",2000,17192290.8
"613",1950,1116186.1
"614",1951,1214571.6
"615",1952,1187956.5
"616",1953,1243747.6
"617",1954,1327745
"618",1955,1432047.7
"619",1956,1434821.7
"620",1957,1548762.2
"621",1958,1389517.5
"622",1959,1511693.8
"623",1960,1683408.2
"624",1961,1796352.1
"625",1962,1735347.3
"626",1963,1727746.1
"627",1964,1817158.9
"628",1965,1902773.3
"629",1966,2037075.2
"630",1967,2199653.4
"631",1968,2201317.8
"632",1969,2336099.8
"633",1970,2172116.5
"634",1971,2762142.1
"635",1972,2832336.6
"636",1973,3522376.3
"637",1974,3233173.4
"638",1975,2256905.3
"639",1976,3160278.2
"640",1977,3179947.2
"641",1978,2881310
"642",1979,2817086.2
"643",1980,2508534.6
"644",1981,2516271.8
"645",1982,2122804.3
"646",1983,1895706.8
"647",1984,1903177.1
"648",1985,2251248
"649",1986,2716619
"650",1987,3440897.9
"651",1988,3924020.6
"652",1989,4350696.2
"653",1990,4088569.3
"654",1991,4255109
"655",1992,3763949.6
"656",1993,3878698.3
"657",1994,4067028.9
"658",1995,4000699.7
"659",1996,4523302
"660",1997,4898451.1
"661",1998,5043700.6
"662",1999,4968433.8
"663",2000,5399269.4
"664",1950,348853.8
"665",1951,375416.1
"666",1952,384755.3
"667",1953,394562.8
"668",1954,417182.4
"669",1955,445326.4
"670",1956,441759.9
"671",1957,478763
"672",1958,435231.7
"673",1959,477482.4
"674",1960,527791.8
"675",1961,553764.3
"676",1962,549026
"677",1963,549837.6
"678",1964,585541.1
"679",1965,608493.3
"680",1966,634846.7
"681",1967,670673.4
"682",1968,659702.3
"683",1969,684536.9
"684",1970,660010.4
"685",1971,725256.2
"686",1972,734485.9
"687",1973,865626.7
"688",1974,840591.7
"689",1975,644795.3
"690",1976,765028.9
"691",1977,749475.3
"692",1978,714099.3
"693",1979,728453.6
"694",1980,676342.8
"695",1981,675311.2
"696",1982,601604.2
"697",1983,566399.6
"698",1984,584600.9
"699",1985,628120.6
"700",1986,724856
"701",1987,853499
"702",1988,937177.3
"703",1989,1028566.5
"704",1990,1050034.4
"705",1991,1104196.3
"706",1992,971904.6
"707",1993,1012926.1
"708",1994,1068573.7
"709",1995,1078050
"710",1996,1223866.5
"711",1997,1314007.4
"712",1998,1385936.5
"713",1999,1379770.4
"714",2000,1486569.5
"715",1950,100324.4
"716",1951,107995.6
"717",1952,112701.4
"718",1953,115069
"719",1954,123607.7
"720",1955,132227.6
"721",1956,133644.9
"722",1957,143613.9
"723",1958,134580
"724",1959,147736.6
"725",1960,162820.9
"726",1961,171486.2
"727",1962,172927.3
"728",1963,176565.6
"729",1964,188663.1
"730",1965,197797.4
"731",1966,202671.6
"732",1967,209509.8
"733",1968,204782.3
"734",1969,211077
"735",1970,206324
"736",1971,224372
"737",1972,227019.7
"738",1973,254709.5
"739",1974,253017.5
"740",1975,209833.2
"741",1976,236182.9
"742",1977,226291.7
"743",1978,224290.3
"744",1979,220255
"745",1980,213815.3
"746",1981,211860
"747",1982,199316.8
"748",1983,194960.3
"749",1984,198078.2
"750",1985,207204.5
"751",1986,225793.6
"752",1987,245510.4
"753",1988,258479.5
"754",1989,279426.7
"755",1990,280931.1
"756",1991,279509.8
"757",1992,267875.2
"758",1993,270858.7
"759",1994,282551.5
"760",1995,289663.9
"761",1996,320339.7
"762",1997,339868
"763",1998,362108.9
"764",1999,369963.8
"765",2000,392844.6
"766",1950,0
"767",1951,0
"768",1952,0
"769",1953,0
"770",1954,0
"771",1955,0
"772",1956,0
"773",1957,0
"774",1958,0
"775",1959,0
"776",1960,0
"777",1961,0
"778",1962,0
"779",1963,0
"780",1964,0
"781",1965,0
"782",1966,0
"783",1967,0
"784",1968,0
"785",1969,0
"786",1970,0
"787",1971,0
"788",1972,0
"789",1973,0
"790",1974,0
"791",1975,0
"792",1976,0
"793",1977,0
"794",1978,0
"795",1979,0
"796",1980,0
"797",1981,0
"798",1982,0
"799",1983,0
"800",1984,0
"801",1985,0
"802",1986,0
"803",1987,0
"804",1988,0
"805",1989,0
"806",1990,0
"807",1991,0
"808",1992,0
"809",1993,0
"810",1994,0
"811",1995,0
"812",1996,0
"813",1997,0
"814",1998,0
"815",1999,0
"816",2000,0
"817",1950,1161.5
"818",1951,1179
"819",1952,1182.4
"820",1953,1245.4
"821",1954,1290.4
"822",1955,1335.2
"823",1956,1402.2
"824",1957,1457.9
"825",1958,1504
"826",1959,1478.6
"827",1960,1569.1
"828",1961,1649.3
"829",1962,1793.9
"830",1963,1826
"831",1964,1962.8
"832",1965,1989.2
"833",1966,2115.9
"834",1967,2198.9
"835",1968,2361.5
"836",1969,2557.3
"837",1970,2753.2
"838",1971,2850.4
"839",1972,3025.3
"840",1973,3065.9
"841",1974,3213.1
"842",1975,3439.7
"843",1976,3268.1
"844",1977,3549.1
"845",1978,3738.8
"846",1979,4173
"847",1980,4266.4
"848",1981,4236.5
"849",1982,4297
"850",1983,4187
"851",1984,4085.8
"852",1985,4188.5
"853",1986,4194.5
"854",1987,4226.9
"855",1988,4272.7
"856",1989,4406.4
"857",1990,4382
"858",1991,4396.7
"859",1992,4444.4
"860",1993,4241.6
"861",1994,4252.6
"862",1995,4271.3
"863",1996,4334.2
"864",1997,4370.3
"865",1998,4514
"866",1999,4782.7
"867",2000,4946.7
"868",1950,3426.5
"869",1951,3477.9
"870",1952,3488
"871",1953,3673.8
"872",1954,3806.7
"873",1955,3939
"874",1956,4136.6
"875",1957,4300.7
"876",1958,4436.8
"877",1959,4361.7
"878",1960,4628.8
"879",1961,4865.3
"880",1962,5292
"881",1963,5386.6
"882",1964,5790.2
"883",1965,5868.1
"884",1966,6242
"885",1967,6486.8
"886",1968,6966.4
"887",1969,7543.9
"888",1970,8122
"889",1971,8408.7
"890",1972,8924.5
"891",1973,9044.5
"892",1974,9478.6
"893",1975,10147.2
"894",1976,9640.9
"895",1977,10470
"896",1978,11029.3
"897",1979,12310.5
"898",1980,12585.9
"899",1981,12497.8
"900",1982,12676.2
"901",1983,12351.7
"902",1984,12053.2
"903",1985,12356.1
"904",1986,12373.8
"905",1987,12469.5
"906",1988,12604.5
"907",1989,12998.8
"908",1990,12926.9
"909",1991,12970.2
"910",1992,13110.9
"911",1993,12512.8
"912",1994,12545.2
"913",1995,12600.4
"914",1996,12786
"915",1997,12892.3
"916",1998,13316.3
"917",1999,14108.8
"918",2000,14592.8
"919",1950,4764.1
"920",1951,4865.6
"921",1952,4918.6
"922",1953,5131.6
"923",1954,5324.1
"924",1955,5508.7
"925",1956,5764.2
"926",1957,5985.4
"927",1958,6146.8
"928",1959,6038.9
"929",1960,6561.9
"930",1961,6793.1
"931",1962,7272.7
"932",1963,7489.4
"933",1964,7970.5
"934",1965,8129.7
"935",1966,8628.2
"936",1967,8923.3
