"","year","value"
"1271",1996,58455.4
"1272",1997,59659.3
"1273",1998,61495.2
"1274",1999,63442.9
"1275",2000,64756.3
"1276",1950,23752
"1277",1951,25362.3
"1278",1952,26772.1
"1279",1953,27425.7
"1280",1954,29433.7
"1281",1955,31252.1
"1282",1956,32032.8
"1283",1957,33592.8
"1284",1958,34772.7
"1285",1959,36633.6
"1286",1960,39313.5
"1287",1961,41120.1
"1288",1962,42674.3
"1289",1963,45309
"1290",1964,49041.7
"1291",1965,51951.9
"1292",1966,51525.3
"1293",1967,53001.7
"1294",1968,52609.1
"1295",1969,54919.5
"1296",1970,55228
"1297",1971,57900.6
"1298",1972,60510.2
"1299",1973,63221.8
"1300",1974,64953.6
"1301",1975,58888
"1302",1976,64134.5
"1303",1977,63125.8
"1304",1978,63570.3
"1305",1979,62320.2
"1306",1980,61610.2
"1307",1981,61733
"1308",1982,62380.5
"1309",1983,62448.6
"1310",1984,63198.3
"1311",1985,64076.5
"1312",1986,65918.4
"1313",1987,67423.6
"1314",1988,70559.7
"1315",1989,73718.4
"1316",1990,75499.4
"1317",1991,73361.8
"1318",1992,73785.3
"1319",1993,73769.5
"1320",1994,74024.2
"1321",1995,74739.9
"1322",1996,75151.2
"1323",1997,76953.9
"1324",1998,79605.1
"1325",1999,82344.3
"1326",2000,84338.3
"1327",1950,2627702.8
"1328",1951,2920183.5
"1329",1952,2720853.8
"1330",1953,2912110
"1331",1954,3179038.8
"1332",1955,3478166
"1333",1956,3571114
"1334",1957,3806081.8
"1335",1958,3454063.3
"1336",1959,3676788
"1337",1960,4103659
"1338",1961,4451488
"1339",1962,4250210
"1340",1963,4173296
"1341",1964,4327524.5
"1342",1965,4690911
"1343",1966,5099358
"1344",1967,5534220.5
"1345",1968,5576160.5
"1346",1969,6125022.5
"1347",1970,2969385.3
"1348",1971,7266783
"1349",1972,7516580.5
"1350",1973,9676696
"1351",1974,8481788
"1352",1975,2435728
"1353",1976,8810558
"1354",1977,9030179
"1355",1978,7920439
"1356",1979,9488401
"1357",1980,3553293.5
"1358",1981,3430487.3
"1359",1982,2965647.5
"1360",1983,2760541.3
"1361",1984,2640691.5
"1362",1985,3026299.3
"1363",1986,3804143.3
"1364",1987,4449251.5
"1365",1988,5311669
"1366",1989,5759594.5
"1367",1990,6582141
"1368",1991,6676369
"1369",1992,6106426
"1370",1993,6056094.5
"1371",1994,6069457.5
"1372",1995,6482110
"1373",1996,7191783
"1374",1997,7979754.5
"1375",1998,8153329.5
"1376",1999,8269790.5
"1377",2000,8847727
"1378",1950,517788.7
"1379",1951,551798.7
"1380",1952,571388.7
"1381",1953,583079.6
"1382",1954,607806.9
"1383",1955,645376.5
"1384",1956,630560.3
"1385",1957,690766.1
"1386",1958,619456.9
"1387",1959,682451.6
"1388",1960,758156.9
"1389",1961,790486.8
"1390",1962,785017.8
"1391",1963,785636.3
"1392",1964,848552.2
"1393",1965,869146.8
"1394",1966,898101.4
"1395",1967,954857.9
"1396",1968,940147.3
"1397",1969,958869
"1398",1970,935716.7
"1399",1971,1009810.9
"1400",1972,1023160
"1401",1973,1200335.8
"1402",1974,1189789.1
"1403",1975,1047167.3
"1404",1976,1053330.5
"1405",1977,1024490.1
"1406",1978,987013.7
"1407",1979,1012738.4
"1408",1980,887052.9
"1409",1981,872976.1
"1410",1982,805256.9
"1411",1983,791027.6
"1412",1984,818181.9
"1413",1985,890044.3
"1414",1986,1062221.5
"1415",1987,1194351.5
"1416",1988,1379486
"1417",1989,1485893
"1418",1990,1690684.5
"1419",1991,1765482.5
"1420",1992,1613026.9
"1421",1993,1730982.4
"1422",1994,1814410.9
"1423",1995,1841853.6
"1424",1996,2080317.6
"1425",1997,2229132.5
"1426",1998,2341142
"1427",1999,2254204.5
"1428",2000,2433125.3
"1429",1950,143916.4
"1430",1951,154584
"1431",1952,162903.8
"1432",1953,165028.4
"1433",1954,176520.4
"1434",1955,187851
"1435",1956,188170.4
"1436",1957,201916
"1437",1958,186749.8
"1438",1959,205500.8
"1439",1960,227595.1
"1440",1961,237822.1
"1441",1962,239792.2
"1442",1963,242368.9
"1443",1964,260203.6
"1444",1965,269575.3
"1445",1966,275674.9
"1446",1967,285085.8
"1447",1968,277367.3
"1448",1969,282958
"1449",1970,300047.8
"1450",1971,307780.2
"1451",1972,311196.8
"1452",1973,344991.7
"1453",1974,348365.5
"1454",1975,277077.2
"1455",1976,302566.3
"1456",1977,287993.7
"1457",1978,288844.8
"1458",1979,305452.3
"1459",1980,284257.5
"1460",1981,280485
"1461",1982,271944.3
"1462",1983,270798
"1463",1984,271403.7
"1464",1985,285780.7
"1465",1986,312576.1
"1466",1987,330064.6
"1467",1988,335332.9
"1468",1989,382687.3
"1469",1990,370756.1
"1470",1991,394754.5
"1471",1992,416116.5
"1472",1993,369410.7
"1473",1994,409037.8
"1474",1995,428939.4
"1475",1996,484677.7
"1476",1997,518074.7
"1477",1998,570007.9
"1478",1999,573639.3
"1479",2000,609334.3
"1480",1950,44122.6
"1481",1951,47395.2
"1482",1952,49480.1
"1483",1953,50911.1
"1484",1954,55096.9
"1485",1955,59258.2
"1486",1956,61102.6
"1487",1957,65239.3
"1488",1958,64002.8
"1489",1959,70047.2
"1490",1960,76384.8
"1491",1961,80986.3
"1492",1962,83138.7
"1493",1963,87036.9
"1494",1964,93047.1
"1495",1965,96462.3
"1496",1966,98514.3
"1497",1967,102149.1
"1498",1968,101127
"1499",1969,102849.1
"1500",1970,107270.3
"1501",1971,108816.1
"1502",1972,107120.2
"1503",1973,120163.7
"1504",1974,122110.1
"1505",1975,107988.7
"1506",1976,118432
"1507",1977,113427
"1508",1978,114386.8
"1509",1979,111405.9
"1510",1980,109425.7
"1511",1981,107348.8
"1512",1982,106881.5
"1513",1983,106591.5
"1514",1984,107666
"1515",1985,110838.1
"1516",1986,116672.7
"1517",1987,120339.6
"1518",1988,125547.8
"1519",1989,131473.5
"1520",1990,130183.1
"1521",1991,130389
"1522",1992,130493.6
"1523",1993,123653.1
"1524",1994,128889.2
"1525",1995,134311.8
"1526",1996,141083.9
"1527",1997,144069.9
"1528",1998,152802.1
"1529",1999,159275.4
"1530",2000,167144.5
