metric,country,year,sex,value,low,high,date_modified
Life expectancy at birth (years),switzerland,2002,Both sexes,80.41,80.39,80.5,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),switzerland,2001,Both sexes,80.1,80.09,80.18,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),switzerland,2000,Both sexes,79.71,79.69,79.8,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2021,Both sexes,80.1,80.1,80.17,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2020,Both sexes,80.14,80.14,80.2,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2019,Both sexes,81.22,81.16,81.29,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2018,Both sexes,80.62,80.57,80.68,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2017,Both sexes,80.92,80.87,80.98,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2016,Both sexes,80.81,80.75,80.87,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2015,Both sexes,80.66,80.6,80.72,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2014,Both sexes,80.94,80.88,80.99,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2013,Both sexes,80.69,80.63,80.74,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2012,Both sexes,80.64,80.58,80.7,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2011,Both sexes,80.64,80.58,80.7,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2010,Both sexes,80.25,80.2,80.31,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2009,Both sexes,80.03,79.97,80.09,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2008,Both sexes,79.54,79.48,79.59,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2007,Both sexes,79.42,79.36,79.47,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2006,Both sexes,79.23,79.17,79.28,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2005,Both sexes,78.91,78.86,78.97,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2004,Both sexes,78.68,78.61,78.74,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2003,Both sexes,78.15,78.09,78.2,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2002,Both sexes,78.08,78.02,78.13,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2001,Both sexes,77.95,77.9,78.01,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united kingdom,2000,Both sexes,77.86,77.79,77.93,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2021,Both sexes,76.37,76.33,76.48,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2020,Both sexes,76.89,76.84,76.94,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2019,Both sexes,78.74,78.69,78.79,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2018,Both sexes,78.63,78.58,78.67,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2017,Both sexes,78.5,78.45,78.55,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2016,Both sexes,78.56,78.51,78.6,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2015,Both sexes,78.61,78.56,78.66,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2014,Both sexes,78.8,78.75,78.85,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2013,Both sexes,78.76,78.71,78.81,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2012,Both sexes,78.77,78.72,78.82,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2011,Both sexes,78.65,78.61,78.7,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2010,Both sexes,78.61,78.56,78.65,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2009,Both sexes,78.42,78.38,78.47,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2008,Both sexes,78.05,78.0,78.1,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2007,Both sexes,77.94,77.89,77.99,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2006,Both sexes,77.68,77.63,77.73,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2005,Both sexes,77.38,77.34,77.43,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2004,Both sexes,77.4,77.35,77.45,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2003,Both sexes,76.99,76.94,77.04,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2002,Both sexes,76.85,76.8,76.9,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2001,Both sexes,76.75,76.7,76.8,2024-08-02T06:00:00.000Z
Life expectancy at birth (years),united states,2000,Both sexes,76.66,76.61,76.7,2024-08-02T06:00:00.000Z
