country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Early-demographic dividend,62.77379233,63.80391558,58.39818946,65.63759112,74.20288811,84.51513966,93.29737083,108.17727,119.5545379,119.7835284,137.392242,153.1230913,159.6001123,165.9239441,164.9859327,163.6610491,161.7760743,167.0475647,165.5051154,163.8321647,165.3896712,188.5808441,,
East Asia & Pacific,240.3478422,223.2693821,224.8933979,252.3255982,278.9203398,293.0829712,298.8200104,322.8661656,375.6938153,421.0113692,479.3097767,588.6749706,627.4060981,603.5595662,617.9377039,604.5243711,638.0250831,670.5886292,725.9518574,758.1760102,791.3891702,874.7045382,,
Europe & Central Asia (excluding high income),88.75664495,80.96572987,96.87700903,125.0378499,158.6443485,194.7847189,227.8163249,277.8129643,324.2611459,285.7305028,311.4612634,331.304809,347.0968284,368.3258544,346.642691,295.3153201,290.5933724,290.9976197,285.9021629,301.1997308,318.4396056,378.4288379,,
Europe & Central Asia,935.124311,963.3577942,1085.116259,1350.742847,1567.197406,1659.680877,1781.682223,2046.02588,2294.939624,2202.997394,2189.746179,2371.880929,2274.462537,2375.212134,2422.994529,2097.049455,2088.793124,2185.096731,2337.460505,2326.718735,2518.091814,2866.599079,,
Ecuador,48.37698364,71.55696869,97.7811203,132.7437592,150.5876923,168.7269745,190.6399536,194.3764343,232.8750153,245.9553986,288.6725464,342.3848877,389.7561035,416.3429565,435.5133057,466.2375183,450.8292542,470.8032837,494.7149048,484.3680725,471.8757629,494.3083801,,
"Egypt, Arab Rep.",71.03570557,70.36794281,65.58682251,51.60063553,51.60012436,60.99180603,68.03048706,75.12869263,92.32979584,101.2181397,107.4189224,118.6961212,142.7594147,142.5976868,158.2058106,173.5194397,145.2776947,107.9884796,120.223259,145.3102875,150.9065552,179.6811981,,
Euro area,1731.765755,1773.851883,1975.286498,2475.402376,2831.385577,2948.497086,3116.700209,3536.610671,3995.234853,3929.317884,3814.888902,4075.623307,3801.60937,3979.211272,4067.658092,3496.890963,3561.84809,3753.430418,4043.53824,3989.962682,4262.900819,4787.145688,,
Eritrea,13.1751833,13.99944115,14.81900692,18.62379265,21.77468681,20.60617447,22.31639481,18.39959717,19.69238472,22.65766335,24.43300056,33.27035522,25.96233749,29.52669525,31.54170799,26.82466125,23.64590836,22.35861588,24.02440262,25.98394394,24.70353127,25.36040497,,
Spain,1005.283997,1045.050659,1174.579346,1640.917725,1924.270874,2060.321533,2242.158691,2606.277832,2995.186035,2937.718262,2789.637207,2908.919678,2590.225342,2629.466797,2679.476563,2349.09375,2376.601074,2524.684814,2741.382568,2716.833496,2899.018799,3234.292969,,
Estonia,209.9776917,214.7041779,250.4802094,368.9795532,474.5079651,549.630249,627.1837769,866.4994507,1082.154785,1006.50708,966.1902466,1061.162842,1058.719604,1194.862061,1287.76123,1156.202759,1226.085938,1350.126465,1553.433472,1599.350342,1789.03479,2094.503174,1986.312256,
Ethiopia,5.31966591,5.54697561,5.19038343,5.76164436,5.79775095,6.55709887,8.53116226,11.78915215,13.22203732,15.36375141,16.40672684,14.83500671,20.28753662,19.53577042,21.90294838,23.53430557,24.67317772,24.51061249,23.84538269,26.22917175,28.69671059,26.47735214,,
European Union,1432.349048,1474.966774,1651.232526,2071.365043,2374.36096,2486.362189,2636.234612,3008.39008,3418.105242,3342.044457,3270.548112,3525.818227,3300.523676,3462.355168,3538.149575,3045.014074,3107.085225,3281.62144,3537.955738,3494.04409,3737.608125,4220.677336,,
Fragile and conflict affected situations,23.08793596,23.31021277,23.17483655,30.25267071,35.23831114,41.07025483,48.75465054,57.71999806,66.88634378,61.59521885,67.10354863,72.62585553,75.66096996,81.36062733,80.40904058,72.24045609,70.23181848,68.63773395,72.9590301,73.09390188,74.78846767,81.7670766,,
Finland,1727,1810,2059,2614,3044,3237,3415,3919,4486,4350,4252,4718,4573,4892,4923,4128,4109,4236,4522,4460,4736,5488,,
Fiji,75.03528595,62.10351181,70.07132721,86.89743042,111.04245,121.2350922,127.4284439,141.433609,135.5037689,121.8430023,128.3963776,141.6560364,154.2161713,159.0212402,178.7059937,169.7298126,176.0686188,185.6439209,249.3664856,253.7433014,231.9827728,250.0255432,,
France,2161.853027,2192.715576,2449.758301,3006.305908,3458.627441,3575.025146,3811.551758,4312.310547,4807.374512,4737.578125,4592.383301,4931.87793,4644.595703,4884.766602,4980.814941,4201.781738,4256.765625,4410.599121,4666.97998,4504.484863,4755.44043,5380.875,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",161.9635925,181.9655304,170.6489563,209.7418518,259.0256958,399.6094055,246.3755188,259.4707947,290.119812,325.8373413,361.8036499,377.4903565,370.9263916,353.2251282,343.0076294,359.7853699,396.6298218,405.3110352,422.4463806,420.5794983,398.5737,393.3493042,,
Gabon,123.3314133,121.066185,132.2174377,166.8882752,182.6139984,190.2720947,212.6139526,254.1988525,271.5098877,283.0296631,207.9378357,262.7745667,226.3252716,262.7824402,234.4215241,188.4241791,208.9052429,193.9759216,211.2257233,208.2883453,228.0245819,233.8710327,,
United Kingdom,2020.52832,2052.34668,2306.128418,2784.539551,3366.341553,3536.322998,3857.485596,4367.535645,4297.475098,3914.195801,3956.388916,4199.083984,4242.234863,4304.478027,4697.760254,4433.858398,4017.342285,3910.814209,4226.205078,4268.677246,4906.239746,5738.484863,5138.63623,
Georgia,53,57,67,82,107,134,154,199,286,275,290,317,349,358,369,294,321,304,332,309,355,417,484,
Ghana,16.27483559,19.207201,19.75684166,23.23123741,25.61305428,39.75449371,45.96789932,54.75652313,61.90890884,61.81399536,71.6121521,95.87026215,83.48946381,104.8143082,78.03632355,77.74266815,64.43041229,74.56986237,82.98774719,93.18772125,87.4445343,100.0009689,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,23.00282097,22.04349136,25.15307426,25.93502045,26.76063919,19.94359016,16.35091019,22.80706406,23.25375366,24.00493431,22.8732872,24.42393684,23.99205208,26.22439003,37.0862999,43.94221497,38.91920853,33.02272034,35.30637741,42.68258667,41.6195488,44.68689728,,
"Gambia, The",46.73692703,38.21402359,36.57312012,28.66201591,32.3373642,33.33732224,33.49129486,35.92889786,39.97063065,34.4699173,32.81699753,30.82727623,29.30704689,25.33724403,17.14346313,19.42744446,20.47114944,21.2003746,22.84936142,22.83255005,26.24802017,24.62883568,,
Guinea-Bissau,13.3205328,14.86868,14.40980339,14.86718845,18.48643875,21.1059761,22.80813217,26.1655159,34.93793869,27.59508705,31.5948391,44.70295334,37.72527695,46.01106644,64.91837311,52.38645935,56.52604294,54.74217224,58.78644943,54.0177002,68.04572296,68.81868744,,
Equatorial Guinea,18.72773552,27.99723434,75.52088928,87.19217682,104.680542,122.7416306,144.0280304,179.5656128,222.3310089,255.5807343,241.6699982,266.6874695,284.0835266,289.6793518,294.7608948,229.1193543,229.7630615,231.0456543,248.6920013,231.8395386,246.7667389,255.5652466,,
Greece,885.4105225,1004.81543,1168.824097,1566.40979,1782.695923,1935.267578,2052.875488,2426.759521,2840.508545,2809.05957,2564.369385,2338.915039,1948.248535,1832.029663,1700.494385,1481.419678,1513.259155,1509.784546,1603.077881,1569.029053,1675.117065,1845.775635,,
Grenada,259.3835144,271.16745,308.3371582,287.2850647,293.6029053,324.5572205,321.8266296,355.6637268,395.5068054,370.0471497,366.4102783,393.2111206,401.8450623,405.3950195,368.8138428,389.3938294,392.7798157,433.4851379,438.918396,487.6029053,469.0077515,505.4046326,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,83.3463974,99.68914795,107.2444,112.980011,121.7346649,131.9634552,148.5431976,158.3769379,175.1161499,168.8553314,174.7947388,190.7144928,200.3355408,198.3376617,216.795044,233.4156647,246.1173096,265.1839905,265.747345,278.5489807,289.1265564,340.9581299,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,62.85141754,60.46850204,65.32598114,68.42656708,74.88806915,85.49252319,98.42082214,125.8489609,138.7843933,150.3843994,162.9921722,186.5948181,202.51857,212.0263519,216.9332428,228.0209503,237.3030548,268.69104,298.9507446,317.6022644,377.8699951,470.5687866,,
High income,2110.515656,2189.370639,2372.92759,2700.944647,2977.229879,3148.006663,3331.487339,3625.363076,3902.250784,3950.643836,4088.299417,4403.121678,4420.531796,4446.015721,4570.100152,4389.613912,4525.40454,4694.13002,4932.858122,5038.348439,5474.338011,5852.339468,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,
Honduras,67.67149353,66.35316467,69.90351105,78.74036407,82.34390259,96.74766541,110.8378906,126.1158905,147.416153,158.5394898,163.5370483,180.5815735,182.4237213,175.01651,171.3048096,168.9259338,176.973114,168.3921661,177.6466675,184.0391846,212.6973114,253.918045,,
Heavily indebted poor countries (HIPC),16.96594989,16.21245293,17.17140013,19.70739327,22.52321803,25.60236501,29.59968474,34.22975607,38.65797109,39.18408989,40.53514428,44.45396505,45.09595426,48.95480448,49.39995137,46.84719352,46.33095233,45.84998875,45.56404555,46.84830064,47.82869624,51.5939446,,
Croatia,371,388,386,512,635,727,816,1041,1259,1188,1126,1132,1030,890,909,796,841,903,1025,1040,1095,1384,,
Haiti,30.15130806,27.21361732,22.22666931,18.49892044,23.90322304,25.11820602,28.96251106,37.40650558,40.25810623,41.22427368,55.5110321,76.81674194,74.79749298,59.15798187,64.86157227,68.24273682,59.83052063,53.5790062,62.01782608,49.08563995,44.17983627,57.87849426,,
Hungary,313,360,473,683,798,895,893,1003,1117,944,983,1063,961,991,1006,871,914,985,1080,1054,1173,1382,,
IBRD only,76.06080501,76.9855352,76.06347268,84.86047156,98.66746347,116.2816367,134.171291,162.2360793,195.8041934,199.7647708,230.4717861,267.6795562,284.9113546,304.8838814,311.6387182,296.8471943,295.0701449,323.4147725,340.9365547,350.9317656,359.6260108,412.3607328,,
IDA & IBRD total,63.28754486,63.77711899,62.93263089,70.55580028,81.70029182,95.96569331,110.6254877,132.8228337,159.3059164,161.8216803,185.22386,213.7729632,226.8238159,243.1784482,248.2830436,236.1993195,234.7803371,254.8277821,267.4266325,274.4458982,280.4343773,319.9576108,,
IDA total,16.93217763,16.45091001,17.32852025,21.24074365,23.94529683,27.69461166,32.55229778,36.6520187,41.58242613,41.04466159,44.40359603,48.08944583,50.56569574,55.04133555,57.33598541,55.58593133,53.77165518,52.76939874,52.26570749,53.6053387,55.12849104,61.23676947,,
IDA blend,19.48446985,18.4777175,18.89380188,26.84299518,30.00147636,35.99547013,43.96147103,47.68434095,52.71316083,48.38370638,54.36823917,58.78241691,63.92466058,69.98747244,73.56369618,70.04081244,64.82488359,62.23460076,60.24304001,60.57455224,62.2186272,72.64186672,,
Indonesia,15.53566933,17.0277462,19.14863396,25.73569489,26.21132469,34.40548706,44.80917358,56.52228165,59.79582214,62.98189545,86.36213684,108.0318604,106.9016342,103.3793182,103.0588379,97.16175842,107.5287094,111.5139618,111.9118729,119.4984436,133.2563477,160.6417694,,
IDA only,15.64287044,15.42344959,16.5549939,18.46195233,20.93281805,23.554765,26.85021974,31.11805148,35.97381755,37.33099623,39.19808682,42.49073952,43.56536129,47.02514683,48.65273235,47.87549437,47.71261363,47.65222711,47.96526448,49.85982156,51.32898906,55.13877426,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,
India,18,20,20,22,25,27,29,36,38,38,45,48,49,56,57,58,60,57,58,61,64,74,,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,1564.837402,1823.734741,2200.357422,2910.932129,3483.160645,3938.191162,4147.132324,4858.64502,5638.779297,5502.887695,5133.455078,5545.76416,5210.36377,5313.709473,5316.269531,4575.944824,4726.312988,5010.256348,5187.057617,5462.730957,6098.266602,6764.258789,6349.477539,
"Iran, Islamic Rep.",80.95653534,94.31704712,105.7044601,116.9039154,142.1769104,173.7969208,197.7808991,245.0089722,297.5087585,364.4345093,436.1362915,518.84021,513.454834,408.3304443,375.284668,384.2598572,447.1392517,466.9943237,478.3919067,378.4741821,338.2497253,392.5414429,,
Iraq,,,,26.71866798,51.29241562,52.51676941,56.19692612,99.6492157,138.109314,139.0555573,143.5260315,160.8146668,173.4031677,185.7355652,178.0239563,148.3005981,198.706192,195.8237305,231.0033112,239.5789185,245.4804688,248.923111,,
Iceland,2854,2527,3045,3837,4411,5076,4915,5800,4747,3621,3612,3911,3760,4069,4488,4270,5016,5945,6234,5865,5652,6716,6400,
