observation_date,Investment_Amount
2007-01-01,392.568
2008-01-01,403.615
2009-01-01,412.593
2010-01-01,406.680
2011-01-01,396.311
2012-01-01,385.937
2013-01-01,378.260
2014-01-01,381.288
2015-01-01,391.325
2016-01-01,400.267
2017-01-01,402.635
2018-01-01,410.532
2019-01-01,423.567
2020-01-01,423.322
2021-01-01,417.949
2022-01-01,417.649
2023-01-01,435.196
