year,race,race_multiplier
1999,"WHITE, NOT HISPANIC",1.0706343323096474
1998,"WHITE, NOT HISPANIC",1.0788522615266674
1997,"WHITE, NOT HISPANIC",1.078024579997745
1996,"WHITE, NOT HISPANIC",1.0712373414037946
1995,"WHITE, NOT HISPANIC",1.073849447021049
1994,"WHITE, NOT HISPANIC",1.0706850641491164
1993,"WHITE, NOT HISPANIC",1.0723887039092366
1992,"WHITE, NOT HISPANIC",1.0717494544987807
1991,"WHITE, NOT HISPANIC",1.0646153846153845
1990,"WHITE, NOT HISPANIC",1.063338768343158
1989,"WHITE, NOT HISPANIC",1.0624770305034914
1988,"WHITE, NOT HISPANIC",1.0640040317500314
1987,"WHITE, NOT HISPANIC",1.0631216526396328
1986,"WHITE, NOT HISPANIC",1.0623862750194957
1985,"WHITE, NOT HISPANIC",1.061299052774019
1984,"WHITE, NOT HISPANIC",1.0594182825484764
1983,"WHITE, NOT HISPANIC",1.0688416211555045
1982,"WHITE, NOT HISPANIC",1.0565004324012683
1981,"WHITE, NOT HISPANIC",1.0549514281571697
1980,"WHITE, NOT HISPANIC",1.0539805269186713
1979,"WHITE, NOT HISPANIC",1.0515349354076955
1978,"WHITE, NOT HISPANIC",1.0492514341681825
1977,"WHITE, NOT HISPANIC",1.0519255733448722
1976,"WHITE, NOT HISPANIC",1.0517392575270388
1975,"WHITE, NOT HISPANIC",1.0495657382449834
1974,"WHITE, NOT HISPANIC",1.0487343613616527
1973,"WHITE, NOT HISPANIC",1.0502139800285306
1972,"WHITE, NOT HISPANIC",1.0508253692441356
2023,BLACK,0.7048908296943232
2022,BLACK,0.7193490054249548
2021,BLACK,0.6928446771378709
2020,BLACK,0.6954385964912281
2019,BLACK,0.6787748058671268
2018,BLACK,0.6515740740740741
2017,BLACK,0.6617893755824791
2017,BLACK,0.6730805687203791
2017,BLACK,0.668219944082013
2017,BLACK,0.6796208530805687
2016,BLACK,0.6911111111111111
2015,BLACK,0.6856798553926491
2014,BLACK,0.6763777871266302
2013,BLACK,0.6709839147691665
2013,BLACK,0.6945615742242405
2013,BLACK,0.6600167119281387
2013,BLACK,0.6832089955670884
2012,BLACK,0.6697876973326075
2011,BLACK,0.6782124125874126
2010,BLACK,0.6671414484496548
2009,BLACK,0.6774539219888556
2008,BLACK,0.6800983326207781
2007,BLACK,0.6896911519198664
2006,BLACK,0.6779293242405455
2005,BLACK,0.6701487812598924
2004,BLACK,0.6720025784271594
2003,BLACK,0.6793991416309013
2002,BLACK,0.6915978109239189
2001,BLACK,0.6742863162330138
2000,BLACK,0.6857682619647355
1999,BLACK,0.7026368738748279
1998,BLACK,0.6583068667177746
1997,BLACK,0.6634344345472996
1996,BLACK,0.6888604353393086
1995,BLACK,0.676537043643715
1994,BLACK,0.6784071653352699
1993,BLACK,0.6572943642865952
1992,BLACK,0.6552432293672186
1991,BLACK,0.6603846153846153
1990,BLACK,0.6633638530038881
1989,BLACK,0.6569888521376944
1988,BLACK,0.6608290286002267
1987,BLACK,0.6528946697271104
1986,BLACK,0.6577852872368078
1985,BLACK,0.6652232746955345
1984,BLACK,0.6541551246537396
1983,BLACK,0.6507617131359587
1982,BLACK,0.6477371000288268
1981,BLACK,0.651877627954183
1980,BLACK,0.6632302405498282
