date,category,percent,trillions
1996:Q3,top_point_1,11.4,3405635
1996:Q3,remaining_top_1,15.8,4726721
1996:Q3,90_99,34.2,10225115
1996:Q3,50_90,35.1,10486497
1996:Q3,0_50,3.4,1026183
1996:Q4,top_point_1,11.5,3511597
1996:Q4,remaining_top_1,15.8,4832538
1996:Q4,90_99,34.4,10509415
1996:Q4,50_90,34.9,10656245
1996:Q4,0_50,3.3,1022005
1997:Q1,top_point_1,11.3,3482188
1997:Q1,remaining_top_1,15.7,4842883
1997:Q1,90_99,34.6,10638388
1997:Q1,50_90,35,10754492
1997:Q1,0_50,3.4,1034273
1997:Q2,top_point_1,11.5,3678800
1997:Q2,remaining_top_1,15.9,5097537
1997:Q2,90_99,34.7,11132572
1997:Q2,50_90,34.6,11088456
1997:Q2,0_50,3.3,1072541
1997:Q3,top_point_1,11.5,3807103
1997:Q3,remaining_top_1,16,5274690
1997:Q3,90_99,34.8,11494204
1997:Q3,50_90,34.4,11350215
1997:Q3,0_50,3.3,1102993
1997:Q4,top_point_1,11.6,3890626
1997:Q4,remaining_top_1,16,5366988
1997:Q4,90_99,35,11727936
1997:Q4,50_90,34.2,11469126
1997:Q4,0_50,3.3,1092858
1998:Q1,top_point_1,11.8,4129462
1998:Q1,remaining_top_1,16.1,5669055
1998:Q1,90_99,35.1,12321843
1998:Q1,50_90,33.8,11866248
1998:Q1,0_50,3.3,1156195
1998:Q2,top_point_1,11.7,4207409
1998:Q2,remaining_top_1,16.2,5791638
1998:Q2,90_99,35.1,12589518
1998:Q2,50_90,33.7,12080559
1998:Q2,0_50,3.2,1152592
1998:Q3,top_point_1,11.3,3981325
1998:Q3,remaining_top_1,15.9,5585243
1998:Q3,90_99,35.1,12356600
1998:Q3,50_90,34.3,12067900
1998:Q3,0_50,3.4,1210528
1998:Q4,top_point_1,11.5,4283431
1998:Q4,remaining_top_1,16.2,6037168
1998:Q4,90_99,35.4,13175874
1998:Q4,50_90,33.6,12481390
1998:Q4,0_50,3.2,1208096
1999:Q1,top_point_1,11.2,4217245
1999:Q1,remaining_top_1,16.3,6093490
1999:Q1,90_99,35.5,13297823
1999:Q1,50_90,33.7,12635215
1999:Q1,0_50,3.3,1248172
1999:Q2,top_point_1,11.3,4346383
1999:Q2,remaining_top_1,16.4,6340106
1999:Q2,90_99,35.6,13745187
1999:Q2,50_90,33.5,12915805
1999:Q2,0_50,3.2,1231118
1999:Q3,top_point_1,11,4256001
1999:Q3,remaining_top_1,16.4,6306247
1999:Q3,90_99,35.6,13729946
1999:Q3,50_90,33.7,13003216
1999:Q3,0_50,3.2,1243644
1999:Q4,top_point_1,11.4,4655228
1999:Q4,remaining_top_1,16.7,6843037
1999:Q4,90_99,35.9,14701910
1999:Q4,50_90,32.9,13501767
1999:Q4,0_50,3.2,1298061
2000:Q1,top_point_1,11.2,4712786
2000:Q1,remaining_top_1,16.8,7060899
2000:Q1,90_99,35.9,15103806
2000:Q1,50_90,33,13906671
2000:Q1,0_50,3.2,1342436
2000:Q2,top_point_1,10.9,4585270
2000:Q2,remaining_top_1,16.7,7030249
2000:Q2,90_99,35.8,15094500
2000:Q2,50_90,33.4,14068564
2000:Q2,0_50,3.2,1346974
2000:Q3,top_point_1,10.7,4587624
2000:Q3,remaining_top_1,16.7,7119859
2000:Q3,90_99,35.8,15286869
2000:Q3,50_90,33.6,14331248
2000:Q3,0_50,3.2,1373690
2000:Q4,top_point_1,10.4,4382900
2000:Q4,remaining_top_1,16.5,6934623
2000:Q4,90_99,35.8,15096828
2000:Q4,50_90,34.2,14399066
2000:Q4,0_50,3.1,1325934
2001:Q1,top_point_1,10,4189188
2001:Q1,remaining_top_1,16.2,6822416
2001:Q1,90_99,35.7,14975342
2001:Q1,50_90,34.9,14669253
2001:Q1,0_50,3.2,1336843
2001:Q2,top_point_1,10,4324182
2001:Q2,remaining_top_1,16.3,7059275
2001:Q2,90_99,35.8,15470939
2001:Q2,50_90,34.8,15057965
2001:Q2,0_50,3.1,1335259
2001:Q3,top_point_1,9.6,4069358
2001:Q3,remaining_top_1,16,6748740
2001:Q3,90_99,35.7,15087189
2001:Q3,50_90,35.5,14999439
2001:Q3,0_50,3.1,1314879
2001:Q4,top_point_1,9.7,4262386
2001:Q4,remaining_top_1,16.2,7089700
2001:Q4,90_99,35.9,15727556
2001:Q4,50_90,35.2,15397196
2001:Q4,0_50,3,1299483
2002:Q1,top_point_1,9.6,4283324
2002:Q1,remaining_top_1,16.2,7205982
2002:Q1,90_99,36,15976962
2002:Q1,50_90,35.2,15625461
2002:Q1,0_50,3,1314931
2002:Q2,top_point_1,9.5,4154261
2002:Q2,remaining_top_1,16.2,7101260
2002:Q2,90_99,36,15787370
2002:Q2,50_90,35.4,15507489
2002:Q2,0_50,2.9,1280233
2002:Q3,top_point_1,9.1,3900653
2002:Q3,remaining_top_1,16,6821931
2002:Q3,90_99,36,15382254
2002:Q3,50_90,35.9,15363099
2002:Q3,0_50,3,1267889
2002:Q4,top_point_1,9.1,3961679
2002:Q4,remaining_top_1,16.1,7007446
2002:Q4,90_99,36,15711330
2002:Q4,50_90,35.9,15635256
2002:Q4,0_50,2.9,1274867
2003:Q1,top_point_1,9,3915986
2003:Q1,remaining_top_1,16,7003828
2003:Q1,90_99,36.2,15837826
2003:Q1,50_90,36,15757618
2003:Q1,0_50,2.8,1230328
2003:Q2,top_point_1,9.3,4226294
2003:Q2,remaining_top_1,16.2,7379741
2003:Q2,90_99,36.5,16626841
2003:Q2,50_90,35.4,16157693
2003:Q2,0_50,2.6,1193439
2003:Q3,top_point_1,9.3,4335625
2003:Q3,remaining_top_1,16.3,7588792
2003:Q3,90_99,36.5,16973498
2003:Q3,50_90,35.2,16349801
2003:Q3,0_50,2.6,1222100
2003:Q4,top_point_1,9.6,4621262
2003:Q4,remaining_top_1,16.5,7989954
2003:Q4,90_99,36.6,17677506
2003:Q4,50_90,34.7,16774680
2003:Q4,0_50,2.6,1238512
2004:Q1,top_point_1,10,5072781
2004:Q1,remaining_top_1,16.7,8485862
2004:Q1,90_99,36.5,18495157
2004:Q1,50_90,34.3,17359701
2004:Q1,0_50,2.5,1264158
2004:Q2,top_point_1,10,5139444
2004:Q2,remaining_top_1,16.7,8611914
2004:Q2,90_99,36.5,18782202
2004:Q2,50_90,34.3,17632721
2004:Q2,0_50,2.5,1304884
2004:Q3,top_point_1,10.1,5324560
2004:Q3,remaining_top_1,16.8,8862110
2004:Q3,90_99,36.5,19215276
2004:Q3,50_90,34.1,17942728
2004:Q3,0_50,2.4,1287595
2004:Q4,top_point_1,10.3,5661017
2004:Q4,remaining_top_1,16.8,9216571
2004:Q4,90_99,36.6,20047345
2004:Q4,50_90,33.8,18516414
2004:Q4,0_50,2.4,1331374
2005:Q1,top_point_1,10.3,5732211
2005:Q1,remaining_top_1,16.7,9311980
2005:Q1,90_99,36.7,20410784
2005:Q1,50_90,33.8,18795729
2005:Q1,0_50,2.4,1356006
2005:Q2,top_point_1,10.5,5995086
2005:Q2,remaining_top_1,16.8,9568312
2005:Q2,90_99,36.9,21031437
2005:Q2,50_90,33.5,19109233
2005:Q2,0_50,2.4,1366476
2005:Q3,top_point_1,10.6,6233834
2005:Q3,remaining_top_1,16.8,9840200
2005:Q3,90_99,36.9,21661325
2005:Q3,50_90,33.3,19513399
2005:Q3,0_50,2.4,1433445
2005:Q4,top_point_1,10.7,6399197
2005:Q4,remaining_top_1,16.7,10032754
2005:Q4,90_99,36.9,22156018
2005:Q4,50_90,33.2,19912020
2005:Q4,0_50,2.5,1497774
2006:Q1,top_point_1,11.1,6839186
2006:Q1,remaining_top_1,17,10470885
2006:Q1,90_99,37.1,22920203
2006:Q1,50_90,32.5,20071177
2006:Q1,0_50,2.4,1466185
2006:Q2,top_point_1,11.1,6843305
2006:Q2,remaining_top_1,16.8,10427423
2006:Q2,90_99,37.2,23049608
2006:Q2,50_90,32.5,20134239
2006:Q2,0_50,2.4,1466268
2006:Q3,top_point_1,11.2,7040770
2006:Q3,remaining_top_1,16.9,10622050
