year,rate,income
1967,0.64,88000.00
1967,0.66,100000.00
1967,0.67,120000.00
1967,0.68,140000.00
1967,0.69,160000.00
1967,0.7,180000.00
1968,0.14,
1968,0.16,1000.00
1968,0.18,2000.00
1968,0.2,4000.00
1968,0.22,6000.00
1968,0.25,8000.00
1968,0.27,10000.00
1968,0.31,12000.00
1968,0.32,14000.00
1968,0.35,16000.00
1968,0.36,18000.00
1968,0.4,20000.00
1968,0.41,22000.00
1968,0.43,24000.00
1968,0.45,26000.00
1968,0.46,28000.00
1968,0.48,32000.00
1968,0.5,36000.00
1968,0.52,38000.00
1968,0.53,40000.00
1968,0.55,44000.00
1968,0.56,50000.00
1968,0.58,52000.00
1968,0.59,64000.00
1968,0.61,70000.00
1968,0.62,76000.00
1968,0.63,80000.00
1968,0.64,88000.00
1968,0.66,100000.00
1968,0.67,120000.00
1968,0.68,140000.00
1968,0.69,160000.00
1968,0.7,180000.00
1969,0.14,
1969,0.16,1000.00
1969,0.18,2000.00
1969,0.2,4000.00
1969,0.22,6000.00
1969,0.25,8000.00
1969,0.27,10000.00
1969,0.31,12000.00
1969,0.32,14000.00
1969,0.35,16000.00
1969,0.36,18000.00
1969,0.4,20000.00
1969,0.41,22000.00
1969,0.43,24000.00
1969,0.45,26000.00
1969,0.46,28000.00
1969,0.48,32000.00
1969,0.5,36000.00
1969,0.52,38000.00
1969,0.53,40000.00
1969,0.55,44000.00
1969,0.56,50000.00
1969,0.58,52000.00
1969,0.59,64000.00
1969,0.61,70000.00
1969,0.62,76000.00
1969,0.63,80000.00
1969,0.64,88000.00
1969,0.66,100000.00
1969,0.67,120000.00
1969,0.68,140000.00
1969,0.69,160000.00
1969,0.7,180000.00
1970,0.14,
1970,0.16,1000.00
1970,0.18,2000.00
1970,0.2,4000.00
1970,0.22,6000.00
1970,0.25,8000.00
1970,0.27,10000.00
1970,0.31,12000.00
1970,0.32,14000.00
1970,0.35,16000.00
1970,0.36,18000.00
1970,0.4,20000.00
1970,0.41,22000.00
1970,0.43,24000.00
1970,0.45,26000.00
1970,0.46,28000.00
1970,0.48,32000.00
1970,0.5,36000.00
1970,0.52,38000.00
1970,0.53,40000.00
1970,0.55,44000.00
1970,0.56,50000.00
1970,0.58,52000.00
1970,0.59,64000.00
1970,0.61,70000.00
1970,0.62,76000.00
1970,0.63,80000.00
1970,0.64,88000.00
1970,0.66,100000.00
1970,0.67,120000.00
1970,0.68,140000.00
1970,0.69,160000.00
1970,0.7,180000.00
1971,0.14,
1971,0.16,1000.00
1971,0.18,2000.00
1971,0.19,4000.00
1971,0.22,6000.00
1971,0.23,8000.00
1971,0.25,10000.00
1971,0.27,12000.00
1971,0.28,14000.00
1971,0.31,16000.00
1971,0.32,18000.00
1971,0.35,20000.00
1971,0.36,22000.00
1971,0.38,24000.00
1971,0.41,26000.00
1971,0.42,28000.00
1971,0.45,32000.00
1971,0.48,36000.00
1971,0.51,38000.00
1971,0.52,40000.00
1971,0.55,44000.00
1971,0.56,50000.00
1971,0.58,52000.00
1971,0.59,64000.00
1971,0.61,70000.00
1971,0.62,76000.00
1971,0.63,80000.00
1971,0.64,88000.00
1971,0.66,100000.00
1971,0.67,120000.00
1971,0.68,140000.00
1971,0.69,160000.00
1971,0.7,180000.00
1972,0.14,
1972,0.16,1000.00
1972,0.18,2000.00
1972,0.19,4000.00
1972,0.22,6000.00
1972,0.23,8000.00
1972,0.25,10000.00
1972,0.27,12000.00
1972,0.28,14000.00
1972,0.31,16000.00
1972,0.32,18000.00
1972,0.35,20000.00
1972,0.36,22000.00
1972,0.38,24000.00
1972,0.41,26000.00
1972,0.42,28000.00
1972,0.45,32000.00
1972,0.48,36000.00
1972,0.51,38000.00
1972,0.52,40000.00
1972,0.55,44000.00
1972,0.56,50000.00
1972,0.58,52000.00
1972,0.59,64000.00
1972,0.61,70000.00
1972,0.62,76000.00
1972,0.63,80000.00
1972,0.64,88000.00
1972,0.66,100000.00
1972,0.67,120000.00
1972,0.68,140000.00
1972,0.69,160000.00
1972,0.7,180000.00
1973,0.14,
1973,0.16,1000.00
1973,0.18,2000.00
1973,0.19,4000.00
1973,0.22,6000.00
1973,0.23,8000.00
1973,0.25,10000.00
1973,0.27,12000.00
1973,0.28,14000.00
1973,0.31,16000.00
1973,0.32,18000.00
1973,0.35,20000.00
1973,0.36,22000.00
1973,0.38,24000.00
1973,0.41,26000.00
1973,0.42,28000.00
1973,0.45,32000.00
1973,0.48,36000.00
1973,0.51,38000.00
1973,0.52,40000.00
1973,0.55,44000.00
1973,0.56,50000.00
1973,0.58,52000.00
1973,0.59,64000.00
1973,0.61,70000.00
1973,0.62,76000.00
1973,0.63,80000.00
1973,0.64,88000.00
1973,0.66,100000.00
1973,0.67,120000.00
1973,0.68,140000.00
1973,0.69,160000.00
1973,0.7,180000.00
1974,0.14,
1974,0.16,1000.00
1974,0.18,2000.00
1974,0.19,4000.00
1974,0.22,6000.00
1974,0.23,8000.00
1974,0.25,10000.00
1974,0.27,12000.00
1974,0.28,14000.00
1974,0.31,16000.00
1974,0.32,18000.00
1974,0.35,20000.00
1974,0.36,22000.00
1974,0.38,24000.00
1974,0.41,26000.00
1974,0.42,28000.00
1974,0.45,32000.00
1974,0.48,36000.00
1974,0.51,38000.00
1974,0.52,40000.00
1974,0.55,44000.00
1974,0.56,50000.00
1974,0.58,52000.00
1974,0.59,64000.00
1974,0.61,70000.00
1974,0.62,76000.00
1974,0.63,80000.00
1974,0.64,88000.00
1974,0.66,100000.00
1974,0.67,120000.00
1974,0.68,140000.00
1974,0.69,160000.00
1974,0.7,180000.00
1975,0.14,
1975,0.16,1000.00
1975,0.18,2000.00
1975,0.19,4000.00
1975,0.22,6000.00
1975,0.23,8000.00
1975,0.25,10000.00
1975,0.27,12000.00
1975,0.28,14000.00
1975,0.31,16000.00
1975,0.32,18000.00
1975,0.35,20000.00
1975,0.36,22000.00
1975,0.38,24000.00
1975,0.41,26000.00
1975,0.42,28000.00
1975,0.45,32000.00
1975,0.48,36000.00
1975,0.51,38000.00
1975,0.52,40000.00
1975,0.55,44000.00
1975,0.56,50000.00
1975,0.58,52000.00
1975,0.59,64000.00
1975,0.61,70000.00
1975,0.62,76000.00
1975,0.63,80000.00
1975,0.64,88000.00
1975,0.66,100000.00
1975,0.67,120000.00
1975,0.68,140000.00
1975,0.69,160000.00
1975,0.7,180000.00
1976,0.14,
1976,0.16,1000.00
1976,0.18,2000.00
1976,0.19,4000.00
1976,0.22,6000.00
1976,0.23,8000.00
1976,0.25,10000.00
1976,0.27,12000.00
1976,0.28,14000.00
1976,0.31,16000.00
1976,0.32,18000.00
1976,0.35,20000.00
1976,0.36,22000.00
1976,0.38,24000.00
1976,0.41,26000.00
1976,0.42,28000.00
1976,0.45,32000.00
1976,0.48,36000.00
1976,0.51,38000.00
1976,0.52,40000.00
1976,0.55,44000.00
1976,0.56,50000.00
1976,0.58,52000.00
1976,0.59,64000.00
1976,0.61,70000.00
1976,0.62,76000.00
1976,0.63,80000.00
1976,0.64,88000.00
1976,0.66,100000.00
1976,0.67,120000.00
1976,0.68,140000.00
1976,0.69,160000.00
1976,0.7,180000.00
1977,,
1977,0.14,2200.00
1977,0.16,3200.00
1977,0.18,4200.00
1977,0.19,6200.00
1977,0.22,8200.00
1977,0.23,10200.00
1977,0.25,12200.00
1977,0.27,14200.00
1977,0.28,16200.00
1977,0.31,18200.00
1977,0.32,20200.00
1977,0.35,22200.00
1977,0.36,24200.00
1977,0.38,26200.00
1977,0.41,28200.00
1977,0.42,30200.00
1977,0.45,34200.00
1977,0.48,38200.00
1977,0.51,40200.00
1977,0.52,42200.00
1977,0.55,46200.00
1977,0.56,52200.00
1977,0.58,54200.00
1977,0.59,66200.00
1977,0.61,72200.00
1977,0.62,78200.00
1977,0.63,82200.00
1977,0.64,90200.00
1977,0.66,102200.00
1977,0.67,122200.00
1977,0.68,142200.00
1977,0.69,162200.00
1977,0.7,182200.00
1978,,
1978,0.14,2200.00
1978,0.16,3200.00
1978,0.18,4200.00
1978,0.19,6200.00
1978,0.22,8200.00
1978,0.23,10200.00
1978,0.25,12200.00
1978,0.27,14200.00
1978,0.28,16200.00
1978,0.31,18200.00
1978,0.32,20200.00
1978,0.35,22200.00
1978,0.36,24200.00
1978,0.38,26200.00
1978,0.41,28200.00
1978,0.42,30200.00
1978,0.45,34200.00
1978,0.48,38200.00
1978,0.51,40200.00
1978,0.52,42200.00
1978,0.55,46200.00
1978,0.56,52200.00
1978,0.58,54200.00
1978,0.59,66200.00
1978,0.61,72200.00
1978,0.62,78200.00
1978,0.63,82200.00
1978,0.64,90200.00
1978,0.66,102200.00
1978,0.67,122200.00
1978,0.68,142200.00
1978,0.69,162200.00
1978,0.7,182200.00
1979,,
1979,0.14,2300.00
1979,0.16,4400.00
1979,0.18,6500.00
1979,0.22,8700.00
1979,0.24,11800.00
1979,0.26,15000.00
1979,0.31,18200.00
1979,0.36,23500.00
1979,0.42,28800.00
1979,0.46,34100.00
1979,0.54,44700.00
1979,0.59,60600.00
1979,0.63,81800.00
1979,0.68,108300.00
1979,0.7,161300.00
1979,,
1980,,
1980,0.14,2300.00
1980,0.16,4400.00
1980,0.18,6500.00
1980,0.22,8700.00
1980,0.24,11800.00
1980,0.26,15000.00
1980,0.31,18200.00
1980,0.36,23500.00
1980,0.42,28800.00
1980,0.46,34100.00
1980,0.54,44700.00
1980,0.59,60600.00
1980,0.63,81800.00
1980,0.68,108300.00
1980,0.7,161300.00
1980,,
1981,,
1981,0.14,2300.00
1981,0.16,4400.00
1981,0.18,6500.00
1981,0.22,8700.00
1981,0.24,11800.00
1981,0.26,15000.00
1981,0.31,18200.00
1981,0.36,23500.00
1981,0.42,28800.00
1981,0.46,34100.00
1981,0.54,44700.00
1981,0.59,60600.00
1981,0.63,81800.00
1981,0.68,108300.00
1981,0.7,161300.00
1981,,
1982,,
1982,0.12,2300.00
1982,0.14,4400.00
1982,0.16,6500.00
1982,0.2,8700.00
1982,0.22,11800.00
1982,0.23,15000.00
1982,0.28,18200.00
1982,0.32,23500.00
1982,0.38,28800.00
1982,0.41,34100.00
1982,0.49,44700.00
1982,0.5,60600.00
1982,,
1983,,
1983,0.11,2300.00
1983,0.13,4400.00
1983,0.15,6500.00
1983,0.18,8700.00
1983,0.19,11800.00
1983,0.21,15000.00
1983,0.25,18200.00
1983,0.29,23500.00
1983,0.34,28800.00
1983,0.37,34100.00
1983,0.44,44700.00
1983,0.48,60600.00
1983,0.5,81800.00
1984,,
1984,0.11,2300.00
1984,0.12,4400.00
1984,0.14,6500.00
1984,0.17,8700.00
1984,0.18,11800.00
1984,0.2,15000.00
1984,0.24,18200.00
1984,0.28,23500.00
1984,0.32,28800.00
1984,0.35,34100.00
1984,0.42,44700.00
1984,0.45,60600.00
1984,0.48,81800.00
1984,0.5,108300.00
1984,,
1985,,
1985,0.11,2390.00
1985,0.12,4580.00
1985,0.14,6760.00
1985,0.17,9050.00
1985,0.18,12280.00
1985,0.2,15610.00
1985,0.24,18940.00
1985,0.28,24460.00
1985,0.32,29970.00
1985,0.35,35490.00
1985,0.42,46520.00
1985,0.45,63070.00
1985,0.48,85130.00
1985,0.5,112720.00
1985,,
1986,,
1986,0.11,2480.00
1986,0.12,4750.00
1986,0.14,7010.00
1986,0.17,9390.00
1986,0.18,12730.00
1986,0.2,16190.00
1986,0.24,19640.00
1986,0.28,25360.00
1986,0.32,31080.00
1986,0.35,36800.00
1986,0.42,48240.00
1986,0.45,65390.00
1986,0.48,88270.00
1986,0.5,116870.00
1986,,
1987,0.11,
1987,0.15,2500.00
1987,0.28,23000.00
1987,0.35,38000.00
1987,0.39,80000.00
1988,0.15,
1988,0.28,23900.00
1989,0.15,
1989,0.28,24850.00
1990,0.15,
1990,0.28,26050.00
1991,0.15,
1991,0.28,27300.00
1991,0.31,70450.00
1992,0.15,
1992,0.28,28750.00
1992,0.31,74150.00
1993,0.15,
1993,0.28,29600.00
1993,0.31,76400.00
1993,0.36,127500.00
1993,0.4,250000.00
1994,0.15,
1994,0.28,30500.00
1994,0.31,78700.00
1994,0.36,127500.00
1994,0.4,250000.00
1995,0.15,
1995,0.28,31250.00
1995,0.31,80750.00
1995,0.36,130800.00
1995,0.4,256500.00
1996,0.15,
1996,0.28,32150.00
1996,0.31,83050.00
1996,0.36,134500.00
1996,0.4,263750.00
1997,0.15,
1997,0.28,33050.00
1997,0.31,85350.00
1997,0.36,138200.00
1997,0.4,271050.00
1998,0.15,
1998,0.28,33950.00
1998,0.31,87700.00
1998,0.36,142000.00
1998,0.4,278450.00
1999,0.15,
1999,0.28,34550.00
1999,0.31,89150.00
1999,0.36,144400.00
1999,0.4,283150.00
2000,0.15,
2000,0.28,35150.00
2000,0.31,90800.00
2000,0.36,147050.00
2000,0.4,288350.00
2001,0.15,
2001,0.28,36250.00
2001,0.31,93650.00
2001,0.36,151650.00
2001,0.39,297350.00
2002,0.1,
2002,0.15,10000.00
2002,0.27,37450.00
2002,0.3,96700.00
2002,0.35,156600.00
2002,0.39,307050.00
2003,0.1,
2003,0.15,10000.00
2003,0.25,38050.00
2003,0.28,98250.00
2003,0.33,159100.00
2003,0.35,311950.00
2004,0.1,
2004,0.15,10200.00
2004,0.25,38900.00
2004,0.28,100500.00
2004,0.33,162700.00
2004,0.35,319500.00
2005,0.1,
2005,0.15,10450.00
2005,0.25,39800.00
2005,0.28,102800.00
2005,0.33,166450.00
2005,0.35,326450.00
2006,0.1,
2006,0.15,10750.00
2006,0.25,41050.00
2006,0.28,106000.00
2006,0.33,171650.00
2006,0.35,336550.00
2007,0.1,
2007,0.15,11200.00
2007,0.25,42650.00
2007,0.28,110100.00
2007,0.33,178350.00
2007,0.35,349700.00
2008,0.1,
2008,0.15,11450.00
2008,0.25,43650.00
2008,0.28,112650.00
2008,0.33,182400.00
2008,0.35,357700.00
2009,0.1,
2009,0.15,11950.00
2009,0.25,45500.00
2009,0.28,117450.00
2009,0.33,190200.00
2009,0.35,372950.00
2010,0.1,
2010,0.15,11950.00
2010,0.25,45550.00
2010,0.28,117650.00
2010,0.33,190550.00
2010,0.35,373650.00
2011,0.1,
2011,0.15,12150.00
2011,0.25,46250.00
2011,0.28,119400.00
2011,0.33,193350.00
2011,0.35,379150.00
2012,0.1,
2012,0.15,12400.00
2012,0.25,47350.00
2012,0.28,122300.00
2012,0.33,198050.00
2012,0.35,388350.00
2013,0.1,
2013,0.15,12750.00
2013,0.25,48600.00
2013,0.28,125450.00
2013,0.33,203150.00
2013,0.35,398350.00
2013,0.4,425000.00
2014,0.1,
2014,0.15,12951.00
2014,0.25,49401.00
2014,0.28,127551.00
2014,0.33,206601.00
2014,0.35,405101.00
2014,0.4,432201.00
2015,0.1,
2015,0.15,13151.00
2015,0.25,50201.00
2015,0.28,129601.00
2015,0.33,209851.00
2015,0.35,411501.00
2015,0.4,439001.00
2016,0.1,
2016,0.15,13250.00
2016,0.25,50400.00
2016,0.28,130150.00
2016,0.33,210800.00
2016,0.35,413350.00
2016,0.4,441000.00
2017,0.1,
2017,0.15,13350.00
2017,0.25,50800.00
2017,0.28,131200.00
2017,0.33,212500.00
2017,0.35,416700.00
2017,0.4,444550.00
2018,0.1,
2018,0.12,13600.00
2018,0.22,51800.00
2018,0.24,82500.00
2018,0.32,157500.00
2018,0.35,200000.00
2018,0.37,500000.00
2019,0.1,
2019,0.12,13850.00
2019,0.22,52850.00
2019,0.24,84200.00
2019,0.32,160700.00
2019,0.35,204100.00
2019,0.37,510300.00
2020,0.1,
2020,0.12,14100.00
2020,0.22,53700.00
2020,0.24,85500.00
2020,0.32,163300.00
2020,0.35,207350.00
2020,0.37,518400.00
2021,0.1,
2021,0.12,14200.00
2021,0.22,54200.00
2021,0.24,86350.00
2021,0.32,164900.00
2021,0.35,209400.00
2021,0.37,523600.00
1940,0.04,
1940,0.08,4000.00
1940,0.1,6000.00
1940,0.12,8000.00
1940,0.14,10000.00
1940,0.16,12000.00
1940,0.19,14000.00
1940,0.22,16000.00
1940,0.25,18000.00
1940,0.28,20000.00
1940,0.31,22000.00
1940,0.34,26000.00
1940,0.37,32000.00
1940,0.4,38000.00
1940,0.44,44000.00
1940,0.48,50000.00
1940,0.51,60000.00
1940,0.54,70000.00
1940,0.57,80000.00
1940,0.6,90000.00
1940,0.62,100000.00
1940,0.64,150000.00
1940,0.66,200000.00
1940,0.68,250000.00
1940,0.7,300000.00
1940,0.72,400000.00
1940,0.74,500000.00
1940,0.76,750000.00
1940,0.77,1000000.00
1940,0.78,2000000.00
1940,0.79,5000000.00
