Entity,Code,Year,Top 1% - Share (Pretax) (Estimated),Between 90th and 99th percentiles - Share (Pretax) (Estimated),Middle 40% - Share (Pretax) (Estimated),Bottom 50% - Share (Pretax) (Estimated)
Afghanistan,AFG,2008,16.220001,25.720001,40.9,17.17
Afghanistan,AFG,2012,13.82,24.94,42.25,19
Afghanistan,AFG,2017,15.080001,25.93,41.21,17.79
Afghanistan,AFG,2022,16.220001,25.720001,40.9,17.17
Africa (WID),,1980,21.88,36.69,34.01,7.4199996
Africa (WID),,1981,21.619999,36.449997,34.31,7.62
Africa (WID),,1982,21.539999,36.34,34.47,7.6499996
Africa (WID),,1983,21.58,36.449997,34.34,7.63
Africa (WID),,1984,21.63,36.489998,34.45,7.44
Africa (WID),,1985,21.61,36.5,34.53,7.36
Africa (WID),,1986,21.03,36.469997,35.02,7.48
Africa (WID),,1987,20.79,36.28,35.36,7.56
Africa (WID),,1988,20.66,36.41,35.43,7.4900002
Africa (WID),,1989,20.550001,36.52,35.510002,7.4199996
Africa (WID),,1990,20.27,36.59,35.75,7.3799996
Africa (WID),,1991,20.550001,36.78,35.460003,7.2200003
Africa (WID),,1992,20.21,36.97,35.78,7.05
Africa (WID),,1993,19.54,36.719997,36.489998,7.25
Africa (WID),,1994,19.35,36.77,36.71,7.1800003
Africa (WID),,1995,19.18,36.76,36.809998,7.25
Africa (WID),,1996,19.44,36.76,36.449997,7.35
Africa (WID),,1997,19.88,36.579998,36.149998,7.39
Africa (WID),,1998,20.039999,36.48,36.02,7.4600005
Africa (WID),,1999,20.67,36.399998,35.45,7.48
Africa (WID),,2000,20.800001,36.44,35.34,7.4100003
Africa (WID),,2001,20.900002,36.219997,35.45,7.43
Africa (WID),,2002,20.91,36.07,35.57,7.4600005
Africa (WID),,2003,20.92,36.19,35.49,7.4
Africa (WID),,2004,20.6,36.21,35.66,7.53
Africa (WID),,2005,20.84,36.149998,35.43,7.57
Africa (WID),,2006,20.98,35.89,35.5,7.63
Africa (WID),,2007,21.22,35.82,35.350002,7.62
Africa (WID),,2008,20.960001,35.49,35.8,7.74
Africa (WID),,2009,20.27,35.460003,36.37,7.8900003
Africa (WID),,2010,19.949999,35.56,36.5,7.99
Africa (WID),,2011,19.74,35.06,36.95,8.25
Africa (WID),,2012,20.33,35.34,36.23,8.110001
Africa (WID),,2013,20.09,35.190002,36.52,8.2
Africa (WID),,2014,19.99,34.96,36.67,8.38
Africa (WID),,2015,20.07,34.82,36.739998,8.38
Africa (WID),,2016,19.89,34.88,36.84,8.38
Africa (WID),,2017,19.92,34.87,36.75,8.47
Africa (WID),,2018,19.97,34.69,36.76,8.57
Africa (WID),,2019,19.72,34.75,36.91,8.63
Africa (WID),,2020,19.5,34.58,37.2,8.7300005
Africa (WID),,2021,19.779999,34.83,36.77,8.62
Africa (WID),,2022,17.98,34.96,38.18,8.87
Albania,ALB,1996,8.14,24.429998,48.629997,18.8
Albania,ALB,2002,8.63,25.009998,48.39,17.96
Albania,ALB,2005,8.04,23.66,49.48,18.81
Albania,ALB,2008,8.14,23.67,49.32,18.87
Albania,ALB,2012,8.5199995,23.64,49.039997,18.8
Albania,ALB,2015,8.81,24.01,49.05,18.119999
Albania,ALB,2016,8.98,24.94,48.98,17.1
Albania,ALB,2017,8.76,24.779999,49.1,17.36
Albania,ALB,2018,8.38,24.51,49.39,17.720001
Albania,ALB,2022,8.33,23.810001,49.46,18.4
Algeria,DZA,1988,19.37,31.720001,35.64,13.2699995
Algeria,DZA,1989,18.3,31.61,36.52,13.570001
Algeria,DZA,1990,17.23,31.5,37.41,13.860001
Algeria,DZA,1991,16.150002,31.400002,38.3,14.16
Algeria,DZA,1992,15.080001,31.279999,39.19,14.45
Algeria,DZA,1993,14,31.18,40.079998,14.749999
Algeria,DZA,1994,12.93,31.060001,40.97,15.04
Algeria,DZA,1995,11.85,30.96,41.850002,15.34
Algeria,DZA,1996,11.73,30.779999,41.920002,15.57
Algeria,DZA,1997,11.61,30.61,41.99,15.800001
Algeria,DZA,1998,11.49,30.44,42.06,16.02
Algeria,DZA,1999,11.37,30.26,42.12,16.25
Algeria,DZA,2000,11.25,30.090002,42.18,16.48
Algeria,DZA,2001,11.13,29.910002,42.239998,16.71
Algeria,DZA,2002,11,29.750002,42.32,16.94
Algeria,DZA,2003,10.88,29.570002,42.37,17.17
Algeria,DZA,2004,10.76,29.4,42.43,17.4
Algeria,DZA,2005,10.639999,29.22,42.51,17.630001
Algeria,DZA,2006,10.52,29.039999,42.57,17.86
Algeria,DZA,2007,10.400001,28.87,42.629997,18.09
Algeria,DZA,2008,10.28,28.69,42.699997,18.32
Algeria,DZA,2009,10.15,28.52,42.77,18.55
Algeria,DZA,2010,10.03,28.349998,42.84,18.79
Algeria,DZA,2011,9.91,28.169998,42.899998,19.02
Algeria,DZA,2022,9.91,28.169998,42.899998,19.02
Andorra,AND,1980,8.06,21.71,47.870003,22.36
Andorra,AND,1981,7.95,21.73,48.050003,22.27
Andorra,AND,1982,7.9000006,21.77,48.07,22.26
Andorra,AND,1983,8,21.73,47.84,22.43
Andorra,AND,1984,8.22,21.9,47.58,22.300001
Andorra,AND,1985,8.24,22.01,47.77,21.98
Andorra,AND,1986,8.2,21.87,47.74,22.19
Andorra,AND,1987,8.16,21.89,47.64,22.310001
Andorra,AND,1988,8.33,21.78,47.170002,22.73
Andorra,AND,1989,8.299999,21.8,47.12,22.789999
Andorra,AND,1990,8.25,22.27,46.66,22.83
Andorra,AND,1991,8.5199995,22.89,46.82,21.78
Andorra,AND,1992,8.34,23.05,46.96,21.65
Andorra,AND,1993,8.54,23.36,47.170002,20.93
Andorra,AND,1994,8.97,23.86,46.82,20.36
Andorra,AND,1995,9.28,23.710001,46.54,20.47
Andorra,AND,1996,9.610001,23.61,46.399998,20.38
Andorra,AND,1997,10.26,23.87,45.84,20.029999
Andorra,AND,1998,10.42,23.95,45.59,20.029999
Andorra,AND,1999,10.629999,23.9,45.489998,19.97
Andorra,AND,2000,10.97,23.95,45.45,19.63
Andorra,AND,2001,10.639999,24.03,45.699997,19.63
Andorra,AND,2002,10.14,23.960001,45.95,19.939999
Andorra,AND,2003,10.25,23.65,46.309998,19.789999
Andorra,AND,2004,10.88,23.44,46.8,18.89
Andorra,AND,2005,11.07,23.49,46.239998,19.210001
Andorra,AND,2006,11.48,23.46,46.05,19.01
Andorra,AND,2007,11.509999,23.64,45.67,19.18
Andorra,AND,2008,10.1,23.07,46.82,20.01
Andorra,AND,2009,9.28,23.1,47.2,20.43
Andorra,AND,2010,10.27,23.82,46.7,19.210001
Andorra,AND,2011,10.28,23.79,46.81,19.12
Andorra,AND,2012,10.07,23.85,47,19.08
Andorra,AND,2013,10.14,23.710001,47.260002,18.9
Andorra,AND,2014,10.55,23.83,46.94,18.68
Andorra,AND,2015,10.47,23.83,47,18.7
Andorra,AND,2016,10.320001,23.86,46.95,18.87
Andorra,AND,2017,10.4800005,24,46.62,18.9
Andorra,AND,2018,10.57,23.91,46.44,19.08
Andorra,AND,2019,9.929999,23.85,46.8,19.42
Andorra,AND,2020,9.91,23.57,47.2,19.320002
Andorra,AND,2021,11.29,23.24,46.39,19.08
Andorra,AND,2022,11.509999,23.33,46.02,19.140001
Angola,AGO,1995,21.98,36.05,32.81,9.15
Angola,AGO,2000,21.98,36.05,32.81,9.15
Angola,AGO,2008,15.299999,34.02,38.440002,12.23
Angola,AGO,2018,25.98,32.030003,32.95,9.04
Angola,AGO,2022,25.98,32.030003,32.95,9.04
Anguilla,AIA,1980,23.75,32.190002,35.87,8.190001
Anguilla,AIA,1981,23.64,32.29,35.9,8.16
Anguilla,AIA,1982,23.53,32.4,35.94,8.13
Anguilla,AIA,1983,23.42,32.510002,35.97,8.1
Anguilla,AIA,1984,23.31,32.61,36.01,8.070001
Anguilla,AIA,1985,23.19,32.73,36.04,8.030001
Anguilla,AIA,1986,23.07,32.85,36.09,8
Anguilla,AIA,1987,22.949999,32.96,36.12,7.96
Anguilla,AIA,1988,22.83,33.079998,36.16,7.9300003
Anguilla,AIA,1989,22.7,33.21,36.199997,7.8900003
Anguilla,AIA,1990,22.58,33.32,36.239998,7.8500004
Anguilla,AIA,1991,22.57,33.23,36.3,7.8900003
Anguilla,AIA,1992,22.550001,33.149998,36.37,7.9300003
Anguilla,AIA,1993,22.54,33.059998,36.44,7.9700003
Anguilla,AIA,1994,22.53,32.97,36.489998,8
Anguilla,AIA,1995,22.52,32.88,36.559998,8.04
Anguilla,AIA,1996,22.51,32.8,36.62,8.070001
Anguilla,AIA,1997,22.5,32.71,36.68,8.110001
Anguilla,AIA,1998,22.490002,32.63,36.73,8.14
Anguilla,AIA,1999,22.480001,32.550003,36.8,8.18
Anguilla,AIA,2000,22.470001,32.47,36.86,8.21
Anguilla,AIA,2001,22.310001,32.460003,36.98,8.26
Anguilla,AIA,2002,22.16,32.440002,37.09,8.299999
Anguilla,AIA,2003,22.02,32.43,37.22,8.349999
Anguilla,AIA,2004,21.89,32.41,37.31,8.389999
Anguilla,AIA,2005,21.76,32.4,37.41,8.429999
Anguilla,AIA,2006,21.64,32.390003,37.5,8.46
Anguilla,AIA,2007,21.529999,32.370003,37.6,8.5
Anguilla,AIA,2008,21.42,32.36,37.69,8.53
Anguilla,AIA,2009,21.31,32.350002,37.77,8.57
Anguilla,AIA,2010,21.21,32.34,37.86,8.6
Anguilla,AIA,2011,21.199999,31.830002,37.8,9.17
Anguilla,AIA,2012,21.199999,31.32,37.75,9.74
Anguilla,AIA,2013,21.199999,30.8,37.69,10.3
Anguilla,AIA,2014,21.199999,30.300001,37.65,10.86
Anguilla,AIA,2015,21.189999,29.800001,37.59,11.41
Anguilla,AIA,2016,21.189999,29.300001,37.55,11.97
Anguilla,AIA,2017,21.189999,28.8,37.49,12.51
Anguilla,AIA,2018,21.18,28.32,37.44,13.06
Anguilla,AIA,2019,21.18,27.829998,37.41,13.6
Anguilla,AIA,2020,21.18,27.34,37.34,14.129999
Anguilla,AIA,2021,21.18,27.34,37.34,14.129999
Anguilla,AIA,2022,21.18,27.34,37.34,14.129999
Antigua and Barbuda,ATG,1980,23.75,32.190002,35.87,8.190001
Antigua and Barbuda,ATG,1981,23.64,32.29,35.9,8.16
Antigua and Barbuda,ATG,1982,23.53,32.4,35.94,8.13
Antigua and Barbuda,ATG,1983,23.42,32.510002,35.97,8.1
Antigua and Barbuda,ATG,1984,23.31,32.61,36.01,8.070001
Antigua and Barbuda,ATG,1985,23.19,32.73,36.04,8.030001
Antigua and Barbuda,ATG,1986,23.07,32.85,36.09,8
Antigua and Barbuda,ATG,1987,22.949999,32.96,36.12,7.96
Antigua and Barbuda,ATG,1988,22.83,33.079998,36.16,7.9300003
Antigua and Barbuda,ATG,1989,22.7,33.21,36.199997,7.8900003
Antigua and Barbuda,ATG,1990,22.58,33.32,36.239998,7.8500004
Antigua and Barbuda,ATG,1991,22.57,33.23,36.3,7.8900003
Antigua and Barbuda,ATG,1992,22.550001,33.149998,36.37,7.9300003
Antigua and Barbuda,ATG,1993,22.54,33.059998,36.44,7.9700003
Antigua and Barbuda,ATG,1994,22.53,32.97,36.489998,8
Antigua and Barbuda,ATG,1995,22.52,32.88,36.559998,8.04
Antigua and Barbuda,ATG,1996,22.51,32.8,36.62,8.070001
Antigua and Barbuda,ATG,1997,22.5,32.71,36.68,8.110001
Antigua and Barbuda,ATG,1998,22.490002,32.63,36.73,8.14
Antigua and Barbuda,ATG,1999,22.480001,32.550003,36.8,8.18
Antigua and Barbuda,ATG,2000,22.470001,32.47,36.86,8.21
Antigua and Barbuda,ATG,2001,22.310001,32.460003,36.98,8.26
Antigua and Barbuda,ATG,2002,22.16,32.440002,37.09,8.299999
Antigua and Barbuda,ATG,2003,22.02,32.43,37.22,8.349999
Antigua and Barbuda,ATG,2004,21.89,32.41,37.31,8.389999
Antigua and Barbuda,ATG,2005,21.76,32.4,37.41,8.429999
Antigua and Barbuda,ATG,2006,21.64,32.390003,37.5,8.46
Antigua and Barbuda,ATG,2007,21.529999,32.370003,37.6,8.5
Antigua and Barbuda,ATG,2008,21.42,32.36,37.69,8.53
Antigua and Barbuda,ATG,2009,21.31,32.350002,37.77,8.57
Antigua and Barbuda,ATG,2010,21.21,32.34,37.86,8.6
Antigua and Barbuda,ATG,2011,21.199999,31.830002,37.8,9.17
Antigua and Barbuda,ATG,2012,21.199999,31.32,37.75,9.74
Antigua and Barbuda,ATG,2013,21.199999,30.8,37.69,10.3
Antigua and Barbuda,ATG,2014,21.199999,30.300001,37.65,10.86
Antigua and Barbuda,ATG,2015,21.189999,29.800001,37.59,11.41
Antigua and Barbuda,ATG,2016,21.189999,29.300001,37.55,11.97
Antigua and Barbuda,ATG,2017,21.189999,28.8,37.49,12.51
Antigua and Barbuda,ATG,2018,21.18,28.32,37.44,13.06
Antigua and Barbuda,ATG,2019,21.18,27.829998,37.41,13.6
Antigua and Barbuda,ATG,2020,21.18,27.34,37.34,14.129999
Antigua and Barbuda,ATG,2021,21.18,27.34,37.34,14.129999
Antigua and Barbuda,ATG,2022,21.18,27.34,37.34,14.129999
Argentina,ARG,2001,14.34,36.64,41.27,7.74
Argentina,ARG,2002,15.41,36.57,40.29,7.7299995
Argentina,ARG,2003,15.74,32.72,40.77,10.7699995
Argentina,ARG,2004,13.68,32.96,41.800003,11.559999
Argentina,ARG,2005,11.7,33.3,43.14,11.85
Argentina,ARG,2006,10.5,33.309998,43.72,12.48
Argentina,ARG,2007,14.45,31.310001,41.670002,12.57
Argentina,ARG,2008,14.54,31.380001,41.34,12.75
Argentina,ARG,2009,11.92,30.779999,44.39,12.91
Argentina,ARG,2010,11.92,32.06,42.68,13.339999
Argentina,ARG,2011,11.57,30.869999,43.43,14.129999
Argentina,ARG,2012,8.47,30.899998,45.98,14.64
Argentina,ARG,2013,9.929999,30.46,45.04,14.58
Argentina,ARG,2014,10.13,30.39,45.68,13.809999
Argentina,ARG,2015,11.990001,30.98,42.92,14.120001
Argentina,ARG,2016,14,31.630001,39.93,14.45
Argentina,ARG,2017,11.75,31.369999,41.870003,15.009999
Argentina,ARG,2018,12.17,31.39,41.83,14.61
Argentina,ARG,2022,13.420001,30.49,41.370003,14.72
Armenia,ARM,1996,18.970001,27.8,39.739998,13.4800005
Armenia,ARM,1999,17.39,26.78,40.149998,15.68
Armenia,ARM,2002,16.01,26.9,40.25,16.84
Armenia,ARM,2003,17.02,25.529999,39.92,17.53
Armenia,ARM,2004,18.8,26.87,38.18,16.140001
Armenia,ARM,2005,18.33,26.67,38.510002,16.48
Armenia,ARM,2006,13.150001,24.619999,42.91,19.320002
Armenia,ARM,2007,12.83,25.580002,43.04,18.56
Armenia,ARM,2008,12.59,24.369999,43.71,19.33
Armenia,ARM,2009,12.19,24.18,43.9,19.74
Armenia,ARM,2010,14.759999,24.359999,42.1,18.78
Armenia,ARM,2011,13.259999,24.03,43.22,19.48
Armenia,ARM,2012,13.58,24.12,42.67,19.63
Armenia,ARM,2013,13.869999,24.12,42.96,19.06
Armenia,ARM,2014,14.24,24.92,42.26,18.57
Armenia,ARM,2015,15.04,25.52,41.41,18.029999
Armenia,ARM,2016,16.529999,23.3,42.8,17.36
Armenia,ARM,2017,18.72,24.779999,39.67,16.83
Armenia,ARM,2018,17.460001,26.28,39.52,16.74
Armenia,ARM,2022,18.970001,27.8,39.739998,13.4800005
Aruba,ABW,1980,23.75,32.190002,35.87,8.190001
Aruba,ABW,1981,23.64,32.29,35.9,8.16
Aruba,ABW,1982,23.53,32.4,35.94,8.13
Aruba,ABW,1983,23.42,32.510002,35.97,8.1
Aruba,ABW,1984,23.31,32.61,36.01,8.070001
Aruba,ABW,1985,23.19,32.73,36.04,8.030001
Aruba,ABW,1986,23.07,32.85,36.09,8
Aruba,ABW,1987,22.949999,32.96,36.12,7.96
Aruba,ABW,1988,22.83,33.079998,36.16,7.9300003
Aruba,ABW,1989,22.7,33.21,36.199997,7.8900003
Aruba,ABW,1990,22.58,33.32,36.239998,7.8500004
Aruba,ABW,1991,22.57,33.23,36.3,7.8900003
Aruba,ABW,1992,22.550001,33.149998,36.37,7.9300003
Aruba,ABW,1993,22.54,33.059998,36.44,7.9700003
Aruba,ABW,1994,22.53,32.97,36.489998,8
Aruba,ABW,1995,22.52,32.88,36.559998,8.04
Aruba,ABW,1996,22.51,32.8,36.62,8.070001
Aruba,ABW,1997,22.5,32.71,36.68,8.110001
Aruba,ABW,1998,22.490002,32.63,36.73,8.14
Aruba,ABW,1999,22.480001,32.550003,36.8,8.18
Aruba,ABW,2000,22.470001,32.47,36.86,8.21
Aruba,ABW,2001,22.310001,32.460003,36.98,8.26
Aruba,ABW,2002,22.16,32.440002,37.09,8.299999
Aruba,ABW,2003,22.02,32.43,37.22,8.349999
Aruba,ABW,2004,21.89,32.41,37.31,8.389999
Aruba,ABW,2005,21.76,32.4,37.41,8.429999
Aruba,ABW,2006,21.64,32.390003,37.5,8.46
Aruba,ABW,2007,21.529999,32.370003,37.6,8.5
Aruba,ABW,2008,21.42,32.36,37.69,8.53
Aruba,ABW,2009,21.31,32.350002,37.77,8.57
Aruba,ABW,2010,21.21,32.34,37.86,8.6
Aruba,ABW,2011,21.199999,31.830002,37.8,9.17
Aruba,ABW,2012,21.199999,31.32,37.75,9.74
Aruba,ABW,2013,21.199999,30.8,37.69,10.3
Aruba,ABW,2014,21.199999,30.300001,37.65,10.86
Aruba,ABW,2015,21.189999,29.800001,37.59,11.41
Aruba,ABW,2016,21.189999,29.300001,37.55,11.97
Aruba,ABW,2017,21.189999,28.8,37.49,12.51
Aruba,ABW,2018,21.18,28.32,37.44,13.06
Aruba,ABW,2019,21.18,27.829998,37.41,13.6
Aruba,ABW,2020,21.18,27.34,37.34,14.129999
Aruba,ABW,2021,21.18,27.34,37.34,14.129999
Aruba,ABW,2022,21.18,27.34,37.34,14.129999
Asia (WID),,1980,22.98,35.56,32.620003,8.84
Asia (WID),,1981,22.68,35.370003,32.86,9.089999
Asia (WID),,1982,21.43,35.5,33.69,9.36
Asia (WID),,1983,20.83,35.75,34.079998,9.34
Asia (WID),,1984,20.25,35.56,34.43,9.76
Asia (WID),,1985,20.08,35.68,34.46,9.78
Asia (WID),,1986,20.52,35.43,34.49,9.56
Asia (WID),,1987,20.53,34.88,34.9,9.68
Asia (WID),,1988,20.84,34.95,34.73,9.49
Asia (WID),,1989,21.279999,34.760002,34.54,9.43
Asia (WID),,1990,22.07,34.15,34.31,9.49
Asia (WID),,1991,22.1,34.25,34.31,9.33
Asia (WID),,1992,21.82,34.3,34.36,9.52
Asia (WID),,1993,21.9,33.87,34.57,9.660001
Asia (WID),,1994,21.88,33.95,34.29,9.88
Asia (WID),,1995,22.26,33.19,34.32,10.24
Asia (WID),,1996,22.480001,33.46,33.809998,10.24
Asia (WID),,1997,22.04,33.289997,34.11,10.55
Asia (WID),,1998,22.01,32.81,34.28,10.9
Asia (WID),,1999,22.06,32.65,34.42,10.87
Asia (WID),,2000,22.33,32.420002,34.59,10.66
Asia (WID),,2001,22.59,32.13,34.75,10.52
Asia (WID),,2002,22.2,32.4,35.08,10.320001
Asia (WID),,2003,22.51,32.34,35.08,10.08
Asia (WID),,2004,22.42,32.480003,35.07,10.0199995
Asia (WID),,2005,22.45,32.31,35.4,9.84
Asia (WID),,2006,22.35,32.190002,35.600002,9.849999
Asia (WID),,2007,22.08,32.06,36.1,9.77
Asia (WID),,2008,21.69,32.370003,36.12,9.83
Asia (WID),,2009,21,31.86,37.079998,10.059999
Asia (WID),,2010,20.69,31.830002,37.57,9.91
Asia (WID),,2011,20.57,32.13,37.42,9.889999
Asia (WID),,2012,20.01,31.85,38.18,9.96
Asia (WID),,2013,19.75,32.010002,38.31,9.929999
Asia (WID),,2014,19.57,31.68,38.800003,9.95
Asia (WID),,2015,19.400002,31.89,38.68,10.03
Asia (WID),,2016,19.29,31.810001,38.96,9.94
Asia (WID),,2017,19.56,31.75,38.780003,9.9
Asia (WID),,2018,19.400002,31.64,39.05,9.92
Asia (WID),,2019,19.02,31.66,39.41,9.9
Asia (WID),,2020,19.53,31.86,39.03,9.59
Asia (WID),,2021,19.470001,31.830002,39.08,9.610001
Asia (WID),,2022,19.380001,31.970001,38.96,9.700001
Asia (excluding Middle East) (WID),,1980,19.29,35.030003,32.94,12.74
Asia (excluding Middle East) (WID),,1981,18.81,34.920002,33.41,12.87
Asia (excluding Middle East) (WID),,1982,18.69,34.45,33.899998,12.95
Asia (excluding Middle East) (WID),,1983,18.74,34.64,33.89,12.73
Asia (excluding Middle East) (WID),,1984,18.66,34.14,34.2,12.99
Asia (excluding Middle East) (WID),,1985,18.960001,34.079998,34.18,12.790001
Asia (excluding Middle East) (WID),,1986,19.07,33.84,34.59,12.49
Asia (excluding Middle East) (WID),,1987,19.689999,33.27,34.670002,12.37
Asia (excluding Middle East) (WID),,1988,20.14,33.579998,34.29,11.990001
Asia (excluding Middle East) (WID),,1989,20.67,33.55,33.93,11.85
Asia (excluding Middle East) (WID),,1990,21.32,33.61,33.25,11.82
Asia (excluding Middle East) (WID),,1991,20.62,33.89,33.84,11.65
Asia (excluding Middle East) (WID),,1992,19.310001,34.9,34.31,11.48
Asia (excluding Middle East) (WID),,1993,19.26,34.49,34.89,11.37
Asia (excluding Middle East) (WID),,1994,19.1,34.37,35.27,11.26
Asia (excluding Middle East) (WID),,1995,19.06,33.579998,35.85,11.509999
Asia (excluding Middle East) (WID),,1996,19.300001,33.469997,35.49,11.73
Asia (excluding Middle East) (WID),,1997,18.95,33.399998,35.71,11.940001
Asia (excluding Middle East) (WID),,1998,18.87,33.05,35.81,12.2699995
Asia (excluding Middle East) (WID),,1999,18.9,32.83,36.04,12.23
Asia (excluding Middle East) (WID),,2000,19.07,32.68,36.26,11.9800005
Asia (excluding Middle East) (WID),,2001,19.49,32.34,36.44,11.73
Asia (excluding Middle East) (WID),,2002,19.64,32.760002,36.19,11.41
Asia (excluding Middle East) (WID),,2003,19.74,32.600002,36.39,11.27
Asia (excluding Middle East) (WID),,2004,20.119999,32.480003,36.239998,11.16
Asia (excluding Middle East) (WID),,2005,20.22,32.54,36.329998,10.91
Asia (excluding Middle East) (WID),,2006,20.05,32.440002,36.62,10.89
Asia (excluding Middle East) (WID),,2007,19.88,32.45,36.94,10.73
Asia (excluding Middle East) (WID),,2008,19.54,32.300003,37.31,10.849999
Asia (excluding Middle East) (WID),,2009,19.19,31.94,38.04,10.82
Asia (excluding Middle East) (WID),,2010,19.2,32.27,38,10.54
Asia (excluding Middle East) (WID),,2011,18.67,33.129997,37.73,10.47
Asia (excluding Middle East) (WID),,2012,18.189999,32.530003,38.730003,10.55
Asia (excluding Middle East) (WID),,2013,18.13,32.22,39.11,10.54
Asia (excluding Middle East) (WID),,2014,17.99,31.970001,39.59,10.450001
Asia (excluding Middle East) (WID),,2015,17.800001,32.06,39.62,10.53
Asia (excluding Middle East) (WID),,2016,17.68,32.04,39.969997,10.3
Asia (excluding Middle East) (WID),,2017,18.15,31.970001,39.629997,10.25
Asia (excluding Middle East) (WID),,2018,18.039999,31.92,39.829998,10.21
Asia (excluding Middle East) (WID),,2019,17.74,32.15,39.989998,10.11
Asia (excluding Middle East) (WID),,2020,18.32,31.85,39.969997,9.87
Asia (excluding Middle East) (WID),,2021,18.38,31.869999,39.87,9.88
Asia (excluding Middle East) (WID),,2022,17.98,32.09,39.879997,10.05
Australia,AUS,1911,16.25,29.92,40.12,13.71
Australia,AUS,1912,15.85,26.550001,43.02,14.57
Australia,AUS,1913,14.55,24.429998,45.57,15.459999
Australia,AUS,1914,13.66,22.97,47.32,16.050001
Australia,AUS,1915,12.9800005,21.51,48.93,16.58
Australia,AUS,1916,11.13,18.78,52.37,17.720001
Australia,AUS,1917,11.48,19.11,51.85,17.560001
Australia,AUS,1918,11.64,19.400002,51.510002,17.44
Australia,AUS,1919,15.82,26.24,43.28,14.669999
Australia,AUS,1920,12.620001,21.359999,49.329998,16.689999
Australia,AUS,1921,14.370001,24.429998,45.719997,15.49
Australia,AUS,1922,13.19,22.45,48.07,16.29
Australia,AUS,1923,14.51,24.699999,45.37,15.41
Australia,AUS,1924,14.57,24.46,45.52,15.449999
Australia,AUS,1925,14.049999,23.73,46.46,15.75
Australia,AUS,1926,13.73,23.26,47.06,15.950001
Australia,AUS,1927,14.35,24.56,45.62,15.469999
Australia,AUS,1928,14.749999,24.83,45.14,15.28
Australia,AUS,1929,13.14,22.44,48.120003,16.29
Australia,AUS,1930,11.9800005,20.550001,50.410004,17.07
Australia,AUS,1931,11.5,19.72,51.370003,17.41
Australia,AUS,1932,11.41,19.59,51.54,17.460001
Australia,AUS,1933,12.73,21.699999,48.98,16.59
Australia,AUS,1934,12.790001,21.77,48.859997,16.58
Australia,AUS,1935,12.96,22.19,48.45,16.4
Australia,AUS,1936,13.889999,23.73,46.6,15.780001
Australia,AUS,1937,12.07,20.7,50.22,17.01
Australia,AUS,1938,12.74,21.88,48.82,16.56
Australia,AUS,1939,13.169999,22.58,48,16.25
Australia,AUS,1940,12.66,21.699999,49.039997,16.599998
Australia,AUS,1941,13.12,22.73,47.9,16.25
Australia,AUS,1942,12.67,22.62,48.32,16.39
Australia,AUS,1943,12.66,22.72,48.25,16.36
Australia,AUS,1944,10.9,21.32,50.629997,17.16
Australia,AUS,1945,10.14,19.5,52.56,17.800001
Australia,AUS,1946,11.4,21.18,50.36,17.05
Australia,AUS,1947,12.720001,21.49,49.16,16.619999
Australia,AUS,1948,12.88,21.01,49.38,16.73
Australia,AUS,1949,13.55,20.54,49.219997,16.689999
Australia,AUS,1950,16.869999,16.539999,49.8,16.789999
Australia,AUS,1951,10.75,16.599998,54.62,18.05
Australia,AUS,1952,10.599999,16.35,54.949997,18.099998
Australia,AUS,1953,10.31,16.42,55.12,18.15
Australia,AUS,1954,9.53,16.76,55.409996,18.31
Australia,AUS,1955,8.95,17.03,55.65,18.38
Australia,AUS,1956,9.39,16.84,55.440002,18.32
Australia,AUS,1957,8.21,15.9,57.33,18.56
Australia,AUS,1958,8.900001,21.48,52.02,17.61
Australia,AUS,1959,8.309999,20.33,53.320004,18.039999
Australia,AUS,1960,7.96,20.49,53.460003,18.09
Australia,AUS,1961,7.8599997,20.6,53.52,18.02
Australia,AUS,1962,8.04,20.91,53.250004,17.800001
Australia,AUS,1963,8.37,20.98,52.95,17.7
Australia,AUS,1964,8.02,20.67,53.280003,18.029999
Australia,AUS,1965,7.74,20.61,53.530003,18.119999
Australia,AUS,1966,7.27,20.27,54.04,18.42
Australia,AUS,1967,7.4900002,20.26,53.860004,18.38
Australia,AUS,1968,7.28,20.16,54.030003,18.529999
Australia,AUS,1969,7.27,19.88,54.11,18.74
Australia,AUS,1970,6.92,19.96,54.26,18.85
Australia,AUS,1971,6.7500005,20.38,54.350002,18.51
Australia,AUS,1972,6.8599997,19.88,54.44,18.81
Australia,AUS,1973,6.5899997,19.53,54.71,19.18
Australia,AUS,1974,5.82,19.45,55.22,19.51
Australia,AUS,1975,5.38,19.09,55.9,19.64
Australia,AUS,1976,5.2000003,18.89,56.050003,19.869999
Australia,AUS,1977,5.33,18.79,56.010002,19.859999
Australia,AUS,1978,5.2799997,18.72,56.089996,19.91
Australia,AUS,1979,5.46,18.970001,55.82,19.75
Australia,AUS,1980,5.47,19.380001,55.6,19.55
Australia,AUS,1981,5.27,19.52,55.71,19.5
Australia,AUS,1982,5.31,19.779999,55.739998,19.17
Australia,AUS,1983,5.29,19.54,55.72,19.45
Australia,AUS,1984,5.6400003,19.66,55.269997,19.43
Australia,AUS,1985,5.9900002,19.53,55.21,19.27
Australia,AUS,1986,6.37,19.92,54.82,18.89
Australia,AUS,1987,7.5099998,20.36,53.88,18.26
Australia,AUS,1988,9.22,20.26,52.69,17.83
